page_content,source,format,title,author,subject,keywords,creator,producer,creationDate,modDate,trapped,encryption,file_path,page_count,page,start_index,text,category,racional,error_indx
"Leptonycteris nivalis

Author(s): Adele Pfrimmer Hensley and Kenneth T. Wilkins

Source: Mammalian Species, Jun. 30, 1988, No. 307, Leptonycteris nivalis (Jun. 30,
1988), pp. 1-4

Published by: American Society of Mammalogists

[Stable URL: https://www.jstor.org/stable/3504229](https://www.jstor.org/stable/3504229)

JSTOR is a not-for-profit service that helps scholars, researchers, and students discover, use, and build upon a wide
range of content in a trusted digital archive. We use information technology and tools to increase productivity and
facilitate new forms of scholarship. For more information about JSTOR, please contact support@jstor.org.

Your use of the JSTOR archive indicates your acceptance of the Terms & Conditions of Use, available at
https://about.jstor.org/terms

is collaborating with JSTOR to digitize, preserve and extend access to Mammalian Species

This content downloaded from


-----","Hensley & Wilkins, 1988.pdf",PDF 1.6,Leptonycteris nivalis,,,,page2pdf-2.1,iText® 5.5.8 ©2000-2015 iText Group NV (AGPL-version); modified using iText® 7.1.3 ©2000-2018 iText Group NV (JSTOR Michigan; licensed version),D:20160808174246Z,D:20200911233644Z,,,"papers/test_samples/murcielagos/Hensley & Wilkins, 1988.pdf",5,1,0,"Leptonycteris nivalis

Author(s): Adele Pfrimmer Hensley and Kenneth T. Wilkins

Source: Mammalian Species, Jun. 30, 1988, No. 307, Leptonycteris nivalis (Jun. 30,
1988), pp. 1-4

Published by: American Society of Mammalogists

[Stable URL: https://www.jstor.org/stable/3504229](https://www.jstor.org/stable/3504229)

JSTOR is a not-for-profit service that helps scholars, researchers, and students discover, use, and build upon a wide
range of content in a trusted digital archive. We use information technology and tools to increase productivity and
facilitate new forms of scholarship. For more information about JSTOR, please contact support@jstor.org.

Your use of the JSTOR archive indicates your acceptance of the Terms & Conditions of Use, available at
https://about.jstor.org/terms

is collaborating with JSTOR to digitize, preserve and extend access to Mammalian Species

This content downloaded from


-----",Metadatos,"Se menciona la institución que publicó el artículo y el nombre de sus autores así como la dirección web (URI) dónde encontrarla. El contenido principalmente es bibliografía, si hay más información, usar otra categoría.",
"## MAMMALIAN SPECIES No. 307, pp. 1-4, 3 figs.

By Adele Pfrimmer Hensley and Kenneth T. Wilkins
# Leptonycteris nivalis.

Published 30 June 1988 by The American Society of Mammalogists


Leptonycteris (Lydekker, 1891) body (Hoffmeister, 1957), and has pelage that is less red and more

drab than L. yerbabuenae (Hoffmeister, 1957). Compared to L.

Ischnoglossa Saussure, 1860:491. Type species Ischnoglossa ni- curasoae, L. nivalis has a lighter pelage and the interfemoral mem
valis Saussure (preoccupied by Ischnoglossa Kraatz, 1856, a brane is broader and more hairy (Miller, 1900). The upper incisors
beetle). are not as equally spaced.

Leptonycteris Lydekker, 1891:674, in Flower and Lydekker (1891).

Type species Ischnoglossa nivalis Saussure, 1860. GENERAL CHARACTERS. Leptonycteris nivalis is a large

glossophagine bat (Phillips, 1971; Fig. 1). The slender skull has

CONTEXT AND CONTENT. Order Chiroptera, Family complete zygomata (Hall, 1981; Fig. 2). The muzzle is greatly

Phyllostomidae, Subfamily Glossophaginae. The genus Leptonycteris lengthened, but less so than in some other glossophagines (Hoffcontains three species: L. nivalis, L. yerbabuenae (=L. sanborni), meister, 1957). Leptonycteris is characterized by elongated molars
and L. curasoae (Hall, 1981; Honacki et al., 1982). The following with a faint W-shaped pattern (Hall, 1981). The dental formula is
key to species was developed from diagnostic features reported by i 2/2, c 1/1, p 2/3, m 2/2, total 30 (Davis, 1974). External
Davis and Carter (1962) and Hoffmeister (1957): characters of the big long-nosed bat include a reduced (4 mm or

1 Three phalanges of third finger longer than third meta- shorter), moderately hairy uropatagium with a hairy 3 to 4 mm","Hensley & Wilkins, 1988.pdf",PDF 1.6,Leptonycteris nivalis,,,,page2pdf-2.1,iText® 5.5.8 ©2000-2015 iText Group NV (AGPL-version); modified using iText® 7.1.3 ©2000-2018 iText Group NV (JSTOR Michigan; licensed version),D:20160808174246Z,D:20200911233644Z,,,"papers/test_samples/murcielagos/Hensley & Wilkins, 1988.pdf",5,2,0,"## MAMMALIAN SPECIES No. 307, pp. 1-4, 3 figs.

By Adele Pfrimmer Hensley and Kenneth T. Wilkins
# Leptonycteris nivalis.

Published 30 June 1988 by The American Society of Mammalogists


Leptonycteris (Lydekker, 1891) body (Hoffmeister, 1957), and has pelage that is less red and more

drab than L. yerbabuenae (Hoffmeister, 1957). Compared to L.

Ischnoglossa Saussure, 1860:491. Type species Ischnoglossa ni- curasoae, L. nivalis has a lighter pelage and the interfemoral mem
valis Saussure (preoccupied by Ischnoglossa Kraatz, 1856, a brane is broader and more hairy (Miller, 1900). The upper incisors
beetle). are not as equally spaced.

Leptonycteris Lydekker, 1891:674, in Flower and Lydekker (1891).

Type species Ischnoglossa nivalis Saussure, 1860. GENERAL CHARACTERS. Leptonycteris nivalis is a large

glossophagine bat (Phillips, 1971; Fig. 1). The slender skull has

CONTEXT AND CONTENT. Order Chiroptera, Family complete zygomata (Hall, 1981; Fig. 2). The muzzle is greatly

Phyllostomidae, Subfamily Glossophaginae. The genus Leptonycteris lengthened, but less so than in some other glossophagines (Hoffcontains three species: L. nivalis, L. yerbabuenae (=L. sanborni), meister, 1957). Leptonycteris is characterized by elongated molars
and L. curasoae (Hall, 1981; Honacki et al., 1982). The following with a faint W-shaped pattern (Hall, 1981). The dental formula is
key to species was developed from diagnostic features reported by i 2/2, c 1/1, p 2/3, m 2/2, total 30 (Davis, 1974). External
Davis and Carter (1962) and Hoffmeister (1957): characters of the big long-nosed bat include a reduced (4 mm or

1 Three phalanges of third finger longer than third meta- shorter), moderately hairy uropatagium with a hairy 3 to 4 mm",Clasificación y descripción de la especie,"Se describe la especie, se le nombra y se le ubica taxonómicamente. Se menciona el orden, familia y subfamilia a la que pertenece.",
"1 Three phalanges of third finger longer than third meta- shorter), moderately hairy uropatagium with a hairy 3 to 4 mm

carpal; length of forearm usually 55 mm or greater, fringe (Davis and Carter, 1962); a triangular erect noseleaf (Barbour
averaging 57 mm; fur long and lax; uropatagium mod- and Davis, 1969); a very long extensile tongue tipped with long
erately hairy with a conspicuous fringe of hairs 3 to 4 hairlike papillae (Greenbaum and Phillips, 1974); and short ears
## mm long L. nivalis (Davis, 1974). Although external observation suggests that L. nivalis

Three phalanges of third finger of equal or lesser lengt lacks a tail, a very short concealed tail consisting of three vertebrae
than third metacarpal; length of forearm usually 55 is present (Hoffmeister, 1957).
mm or less, averaging about 54 mm; fur short and Leptonycteris nivalis has a sooty or drab brown color (Barbour
dense; uropatagium sparsely haired to naked with fringe and Davis, 1969) and is darker on the posterior dorsum and paler
of hairs inconspicuous to absent 2 ventrally and on the anterior dorsum (Hall, 1981). Hairs are white

2 (1) Length of upper toothrow (from canine to last molar) at the base and silvery at the tips (Davis, 1974).

greater than or equal to 9 mm; upper and lower teeth, Means for three external measurements (in mm) are: total
especially incisors and premolars, larger and evenly length, 83; length of foot, 17; and length of ear from notch, 15
spaced; uropatagium sparsely haired and with a slight (Davis, 1974). Means and extremes of cranial measurements (in
## fringe L. curasoae mm) for three adult males followed in parentheses by those for seven
Length of upper toothrow (from canine to last m adult females from Texas and Mexico are (Davis and Carter, 1962):","Hensley & Wilkins, 1988.pdf",PDF 1.6,Leptonycteris nivalis,,,,page2pdf-2.1,iText® 5.5.8 ©2000-2015 iText Group NV (AGPL-version); modified using iText® 7.1.3 ©2000-2018 iText Group NV (JSTOR Michigan; licensed version),D:20160808174246Z,D:20200911233644Z,,,"papers/test_samples/murcielagos/Hensley & Wilkins, 1988.pdf",5,2,1624,"1 Three phalanges of third finger longer than third meta- shorter), moderately hairy uropatagium with a hairy 3 to 4 mm

carpal; length of forearm usually 55 mm or greater, fringe (Davis and Carter, 1962); a triangular erect noseleaf (Barbour
averaging 57 mm; fur long and lax; uropatagium mod- and Davis, 1969); a very long extensile tongue tipped with long
erately hairy with a conspicuous fringe of hairs 3 to 4 hairlike papillae (Greenbaum and Phillips, 1974); and short ears
## mm long L. nivalis (Davis, 1974). Although external observation suggests that L. nivalis

Three phalanges of third finger of equal or lesser lengt lacks a tail, a very short concealed tail consisting of three vertebrae
than third metacarpal; length of forearm usually 55 is present (Hoffmeister, 1957).
mm or less, averaging about 54 mm; fur short and Leptonycteris nivalis has a sooty or drab brown color (Barbour
dense; uropatagium sparsely haired to naked with fringe and Davis, 1969) and is darker on the posterior dorsum and paler
of hairs inconspicuous to absent 2 ventrally and on the anterior dorsum (Hall, 1981). Hairs are white

2 (1) Length of upper toothrow (from canine to last molar) at the base and silvery at the tips (Davis, 1974).

greater than or equal to 9 mm; upper and lower teeth, Means for three external measurements (in mm) are: total
especially incisors and premolars, larger and evenly length, 83; length of foot, 17; and length of ear from notch, 15
spaced; uropatagium sparsely haired and with a slight (Davis, 1974). Means and extremes of cranial measurements (in
## fringe L. curasoae mm) for three adult males followed in parentheses by those for seven
Length of upper toothrow (from canine to last m adult females from Texas and Mexico are (Davis and Carter, 1962):",Clasificación y descripción de la especie,"El texto describe las características físicas de la especie Leptonycteris nivalis, incluyendo su tamaño, color, pelaje y otras características morfológicas.",
"usually less than 9 mm; upper and lower teeth, esp condylobasal length, 27.1, 26.5 to 28.0 (27.2, 26.2 to 28.3);
cially incisors and premolars, smaller and less even zygomatic breadth, 11.4, 10.7 to 12.0 (11.3, 10.9 to 11.6); interspaced; upper incisors in two pairs separated b orbital width, 5.3, 5.3 to 5.4 (5.1, 4.3 to 5.4); mastoidal breadth,
median gap; uropatagium nearly naked..... L. yerb 12.0, 11.5 to 12.5 (11.8, 11.5 to 12.0); length of palate from

alveolus, 14.5, 14.0 to 15.0 (14.5, 13.3 to 15.3); maxillary toothrow, 9.2, 8.9 to 9.6 (9.2, 8.5 to 9.5); length of mandible 19.2,

18.5 to 19.7 (19.1, 18.2 to 20.3). Means for two other cranial

Leptonycteris nivalis (Saussure, 1860) measurements (in mm) for six males and eight females from Chisos

Big Long-nosed Bat Mountains, Brewster Co., Texas, are (Hoffmeister, 1957): greatest

length of skull, 28.1, and width of braincase, 10.7. Mandibular

Ischnoglossa nivalis Saussure, 1860:491. Type locality ""near snow

line of Mt. Orizaba, Veracruz.""


Leptonycteris nivalis: Miller, 1900:126.
Leptonycteris nivalis longala Stains, 1957:355. Type from ""12

mi. S and 2 mi. E Arteaga, 7500 ft., Coahuila.""

CONTEXT AND CONTENT. Context noted in generic

summary. Subspecies are not currently recognized.

DIAGNOSIS. Leptonycteris species resemble those of the

genus Lichonycteris in that both lack third molars, but Leptonycteris
normally has lower incisors while Lichonycteris has none (Hall,

1981). A specimen of Leptonycteris nivalis that has lost its lower

incisors can be distinguished from Lichonycteris by the spacing of
the upper incisors between the canines: upper incisors of Lichonycteris are evenly and widely spaced while those of Leptonycteris
form an almost continuous line with the only notable space (if present)
being at the midline (Hall, 1981). Choeronycteris mexicana can be
distinguished by its protruding, short tail (Barbour and Davis, 1969).

Compared to L. yerbabuenae, L. nivalis has longer (7 to 8","Hensley & Wilkins, 1988.pdf",PDF 1.6,Leptonycteris nivalis,,,,page2pdf-2.1,iText® 5.5.8 ©2000-2015 iText Group NV (AGPL-version); modified using iText® 7.1.3 ©2000-2018 iText Group NV (JSTOR Michigan; licensed version),D:20160808174246Z,D:20200911233644Z,,,"papers/test_samples/murcielagos/Hensley & Wilkins, 1988.pdf",5,2,3408,"usually less than 9 mm; upper and lower teeth, esp condylobasal length, 27.1, 26.5 to 28.0 (27.2, 26.2 to 28.3);
cially incisors and premolars, smaller and less even zygomatic breadth, 11.4, 10.7 to 12.0 (11.3, 10.9 to 11.6); interspaced; upper incisors in two pairs separated b orbital width, 5.3, 5.3 to 5.4 (5.1, 4.3 to 5.4); mastoidal breadth,
median gap; uropatagium nearly naked..... L. yerb 12.0, 11.5 to 12.5 (11.8, 11.5 to 12.0); length of palate from

alveolus, 14.5, 14.0 to 15.0 (14.5, 13.3 to 15.3); maxillary toothrow, 9.2, 8.9 to 9.6 (9.2, 8.5 to 9.5); length of mandible 19.2,

18.5 to 19.7 (19.1, 18.2 to 20.3). Means for two other cranial

Leptonycteris nivalis (Saussure, 1860) measurements (in mm) for six males and eight females from Chisos

Big Long-nosed Bat Mountains, Brewster Co., Texas, are (Hoffmeister, 1957): greatest

length of skull, 28.1, and width of braincase, 10.7. Mandibular

Ischnoglossa nivalis Saussure, 1860:491. Type locality ""near snow

line of Mt. Orizaba, Veracruz.""


Leptonycteris nivalis: Miller, 1900:126.
Leptonycteris nivalis longala Stains, 1957:355. Type from ""12

mi. S and 2 mi. E Arteaga, 7500 ft., Coahuila.""

CONTEXT AND CONTENT. Context noted in generic

summary. Subspecies are not currently recognized.

DIAGNOSIS. Leptonycteris species resemble those of the

genus Lichonycteris in that both lack third molars, but Leptonycteris
normally has lower incisors while Lichonycteris has none (Hall,

1981). A specimen of Leptonycteris nivalis that has lost its lower

incisors can be distinguished from Lichonycteris by the spacing of
the upper incisors between the canines: upper incisors of Lichonycteris are evenly and widely spaced while those of Leptonycteris
form an almost continuous line with the only notable space (if present)
being at the midline (Hall, 1981). Choeronycteris mexicana can be
distinguished by its protruding, short tail (Barbour and Davis, 1969).

Compared to L. yerbabuenae, L. nivalis has longer (7 to 8",Clasificación y descripción de la especie,"Se describen las características físicas de la especie, como el tamaño de los dientes, la longitud del cráneo y la forma de los incisores. También se menciona la diferencia entre esta especie y otras especies similares.",
"Compared to L. yerbabuenae, L. nivalis has longer (7 to 8

mm on dorsum) fluffier pelage (Davis and Carter, 1962), is larger
in several cranial and external measurements (Davis and Carter,

1962), has a shorter presphenoid ridge and has deeper, and more

pronounced basisphenoidal pits (Watkins et al., 1972). L. nivalis
has a longer (>105 mm) third finger, with the sum of the lengths FIG. 1. Side view of facial region of Leptonycteris nivalis
of the three phalanges of the third finger averaging greater than the showing long protrusile tongue and bat fly ventral to eye. Specimen,
length of the third metacarpal (Barbour and Davis, 1969; Hoff- from Big Bend National Park, Texas, photographed in 1967 by D.
meister, 1957). L. nivalis has a longer (10% or more) head and A. Easterla.


This content downloaded from


-----","Hensley & Wilkins, 1988.pdf",PDF 1.6,Leptonycteris nivalis,,,,page2pdf-2.1,iText® 5.5.8 ©2000-2015 iText Group NV (AGPL-version); modified using iText® 7.1.3 ©2000-2018 iText Group NV (JSTOR Michigan; licensed version),D:20160808174246Z,D:20200911233644Z,,,"papers/test_samples/murcielagos/Hensley & Wilkins, 1988.pdf",5,2,5340,"Compared to L. yerbabuenae, L. nivalis has longer (7 to 8

mm on dorsum) fluffier pelage (Davis and Carter, 1962), is larger
in several cranial and external measurements (Davis and Carter,

1962), has a shorter presphenoid ridge and has deeper, and more

pronounced basisphenoidal pits (Watkins et al., 1972). L. nivalis
has a longer (>105 mm) third finger, with the sum of the lengths FIG. 1. Side view of facial region of Leptonycteris nivalis
of the three phalanges of the third finger averaging greater than the showing long protrusile tongue and bat fly ventral to eye. Specimen,
length of the third metacarpal (Barbour and Davis, 1969; Hoff- from Big Bend National Park, Texas, photographed in 1967 by D.
meister, 1957). L. nivalis has a longer (10% or more) head and


This content downloaded from


-----",Clasificación y descripción de la especie,Se comparan características morfológicas de la especie con otras especies del mismo género. Se mencionan medidas y proporciones de diferentes partes del cuerpo.,
"FIG. 3. Distribution of Leptonycteris nivalis modified

Hall (1981). Dot indicates extralimital record in Sinaloa, M
Star denotes locality for only known fossil, Cueva de Abra, T
lipas, Mexico.

Leon: Cerro Potosi near La Joha, 3,503 m (Koestner, 1941). L.
nivalis is rare throughout its range (Barbour and Davis, 1969).

FOSSIL RECORD. Late Pleistocene material of L. nivalis

has been reported from a travertine ledge in a cave, Cueva de Ab
in tropical southern Tamaulipas, Mexico (Dalquest and Roth, 19
Fig. 3). The material from this site is a lower jaw without teeth

FORM AND FUNCTION. Leptonycteris nivalis possess

as many as 22 deciduous teeth: i 2/1, c 1/1, p 2-3/2-3 (Philli

1971). Variability in the deciduous premolar count probably resu

from the small size of the teeth, their early loss, or their reabsorpt
before birth. The first upper premolars are not replaced by permane

1 5 t ..mm. I ' teeth. The first lower premolar is the first permanent tooth to eru

it is followed by the coincidental eruption of the first upper and low

FIG. 2. Dorsal, ventral, and lateral views of skull and lateral molars and the outer lower incisors. The first and second upp

view of mandible of Leptonycteris nivalis (Texas Cooperative Wild- premolars and the upper canines and incisors reach the function
life Collection 3556, female) from Chisos Mountains, Brewster Co., eruptive phase at about the same time. These upper teeth and
Texas. Drawings by M. A. Thomas. second and third lower premolars erupt simultaneously. The seco

upper and lower molars are the last permanent cheekteeth to rea
the occlusal plane and they erupt at the same time as the low
canines. The lower inner-incisors are the last permanent teeth","Hensley & Wilkins, 1988.pdf",PDF 1.6,Leptonycteris nivalis,,,,page2pdf-2.1,iText® 5.5.8 ©2000-2015 iText Group NV (AGPL-version); modified using iText® 7.1.3 ©2000-2018 iText Group NV (JSTOR Michigan; licensed version),D:20160808174246Z,D:20200911233644Z,,,"papers/test_samples/murcielagos/Hensley & Wilkins, 1988.pdf",5,3,0,,,,5.0
"upper and lower molars are the last permanent cheekteeth to rea
the occlusal plane and they erupt at the same time as the low
canines. The lower inner-incisors are the last permanent teeth

depth behind the last molar is 2.0 to 2.5 mm deeper in males than
in females; no other marked sexual dimorphism was found for cranial develop (Phillips, 1971). Agenesis of the cheekteeth is uncomm
features (Davis and Carter, 1962). in L. nivalis, but an adult male had a congenitally-missing up

Means and extremes (in mm) for postcranial measurements molar. In both sexes, lower inner-incisors often fail to devel

Occasionally, males congenitally lack the second lower incisors

from three adult males followed in parentheses by those for seven
adult females, respectively, from Texas and Mexico (Davis and nivalis has a fairly high incidence of first upper premolar loss
Carter, 1962) are: length of forearm, 57.2, 55.4 to 59.5 (56.6, to infestations by oral mites (Macronyssidae). Additionally, inciso
54.5 to 58.2); length of third metacarpal, 50.1, 49.0 to 51.7 (50.3, frequently are lost, but the remaining lower teeth, except the lo
49.0 to 51.5); length of third finger, 110.4, 107.1 to 115.3 (110.0, first and second molars, rarely are lost (Phillips, 1971).

108.4 to 112.3); length of terminal phalanx of third finger, 17.6, The highly protrusile tongue of L. nivalis, an adaptation fo
16.2 to 18.7 (17.9, 17.0 to 18.3). De la Torre (1955) observed-a its diet of nectar and pollen, attaches to the posterior sternum (Wil

size dine in L. nivalis such that individuals from the northern portion 1954) and can be extended beyond the tip of the rostrum

distances as great as the length of the head (Winkelmann, 19

of the range of the species are larger than those from the south.
Average body mass is 24 g (Davis, 1974). Dorsoventrally-oriented rows of hairlike papillae cover the ante

lateral surfaces near the tip of the tongue; a median trough, whi","Hensley & Wilkins, 1988.pdf",PDF 1.6,Leptonycteris nivalis,,,,page2pdf-2.1,iText® 5.5.8 ©2000-2015 iText Group NV (AGPL-version); modified using iText® 7.1.3 ©2000-2018 iText Group NV (JSTOR Michigan; licensed version),D:20160808174246Z,D:20200911233644Z,,,"papers/test_samples/murcielagos/Hensley & Wilkins, 1988.pdf",5,3,1534,,,,6.0
"lateral surfaces near the tip of the tongue; a median trough, whi

DISTRIBUTION. Leptonycteris nivalis is known from is narrowest distally, lies between these fields of hairlike papill

southern Trans-Pecos Texas southward through central and eastern (Greenbaum and Phillips, 1974). Most of the median trough
Mexico, mostly east of the 102? meridian and south at least to covered by small, bifid, compact, mechanical papillae except for
Guerrero and Guatemala (Hoffmeister, 1957; Fig. 3). Specimens in restricted cluster of small, horny papillae surrounding a pair of lar
the United States have been collected from the Chisos Mountains, bifid, horny papillae located about 7 mm behind the tip of the tong
Big Bend National Park, Brewster Co., Texas (Borell and Bryant, Keratinization of tongue epithelium is greatest in the vicinity of th

1942); and Chinati Mountains, Presidio Co., Texas (Mollhagen, horny papillae. A midline posterior groove extends from the rear
1973). Although Jones and Findley (1963) reported L. nivalis from the median trough towards the base of the tongue. Numerous singly

the Peloncillo Mountains and Guadalupe Canyon of Hidalgo Co., pointed, posteriorly-directed filiform papillae lie flat against the dor
New Mexico, Findley et al. (1975) did not list this species as occurring and lateral surfaces of this basal section of the tongue (Greenba
in New Mexico. Rather, long-nosed bats from Hidalgo Co. are iden- and Phillips, 1974). In L. sanborni, papillae in the correspond
tified as L. yerbabuenae. Peripheral collection records not included region have a different morphology and deployment: the papill
in Hall (1981) are: Sinaloa: 10.3 mi (16.6 km) W by road of Palmito, have hooked ends and are lifted off of the tongue surface. There

183 m (Baker and Cockrum, 1966); Tamaulipas: 6.5 mi (10.4 km) a correlation of hooked papillae morphology with the absence","Hensley & Wilkins, 1988.pdf",PDF 1.6,Leptonycteris nivalis,,,,page2pdf-2.1,iText® 5.5.8 ©2000-2015 iText Group NV (AGPL-version); modified using iText® 7.1.3 ©2000-2018 iText Group NV (JSTOR Michigan; licensed version),D:20160808174246Z,D:20200911233644Z,,,"papers/test_samples/murcielagos/Hensley & Wilkins, 1988.pdf",5,3,3422,"lateral surfaces near the tip of the tongue; a median trough, whi

DISTRIBUTION. Leptonycteris nivalis is known from is narrowest distally, lies between these fields of hairlike papill

southern Trans-Pecos Texas southward through central and eastern (Greenbaum and Phillips, 1974). Most of the median trough
Mexico, mostly east of the 102? meridian and south at least to covered by small, bifid, compact, mechanical papillae except for
Guerrero and Guatemala (Hoffmeister, 1957; Fig. 3). Specimens in restricted cluster of small, horny papillae surrounding a pair of lar
the United States have been collected from the Chisos Mountains, bifid, horny papillae located about 7 mm behind the tip of the tong
Big Bend National Park, Brewster Co., Texas (Borell and Bryant, Keratinization of tongue epithelium is greatest in the vicinity of th

1942); and Chinati Mountains, Presidio Co., Texas (Mollhagen, horny papillae. A midline posterior groove extends from the rear
1973). Although Jones and Findley (1963) reported L. nivalis from the median trough towards the base of the tongue. Numerous singly

the Peloncillo Mountains and Guadalupe Canyon of Hidalgo Co., pointed, posteriorly-directed filiform papillae lie flat against the dor
New Mexico, Findley et al. (1975) did not list this species as occurring and lateral surfaces of this basal section of the tongue (Greenba
in New Mexico. Rather, long-nosed bats from Hidalgo Co. are iden- and Phillips, 1974). In L. sanborni, papillae in the correspond
tified as L. yerbabuenae. Peripheral collection records not included region have a different morphology and deployment: the papill
in Hall (1981) are: Sinaloa: 10.3 mi (16.6 km) W by road of Palmito, have hooked ends and are lifted off of the tongue surface. There

183 m (Baker and Cockrum, 1966); Tamaulipas: 6.5 mi (10.4 km) a correlation of hooked papillae morphology with the absence",Distribución de la especie,"Se menciona el área geográfica donde se distribuye la especie, desde el sur de Texas hasta el centro y este de México, al este del meridiano 102 y al sur de Guerrero y Guatemala. Se mencionan los estados de México y Estados Unidos donde se han recolectado especímenes.",
"183 m (Baker and Cockrum, 1966); Tamaulipas: 6.5 mi (10.4 km) a correlation of hooked papillae morphology with the absence

N, 13.1 mi (21 km) W Jimenez (Baker and Cockrum, 1966); Nuevo mite infestations of the gingivae in L. sanborni. Mite infestations


This content downloaded from


-----","Hensley & Wilkins, 1988.pdf",PDF 1.6,Leptonycteris nivalis,,,,page2pdf-2.1,iText® 5.5.8 ©2000-2015 iText Group NV (AGPL-version); modified using iText® 7.1.3 ©2000-2018 iText Group NV (JSTOR Michigan; licensed version),D:20160808174246Z,D:20200911233644Z,,,"papers/test_samples/murcielagos/Hensley & Wilkins, 1988.pdf",5,3,5192,"183 m (Baker and Cockrum, 1966); Tamaulipas: 6.5 mi (10.4 km) a correlation of hooked papillae morphology with the absence

N, 13.1 mi (21 km) W Jimenez (Baker and Cockrum, 1966); Nuevo mite infestations of the gingivae in L. sanborni. Mite infestations


This content downloaded from


-----",Distribución de la especie,"Se menciona la distribución de la especie en Tamaulipas, México. Se menciona la distancia en millas y la dirección (Norte, Sur, Este, Oeste) de la localidad.",
"L. nivalis may persist because hookless, appressed papillae cannot Apparently, adult males segregate geographically fro
rake mites from the gums as the tongue retracts. Three other types females in the summer and do not occupy the northern par
of papillae (fungiform, medial vallate, and lateral vallate) occur in species' range (Dalquest and Walton, 1970; Davis, 1974; Ea
restricted regions of the basal half of the tongue of L. nivalis 1972; Schmidly, 1977). Easterla (1972) caught only thre
(Greenbaum and Phillips, 1974). Longitudinal grooves running about in five years of study in Big Bend National Park, Texas.
half the length of the tongue on each side were reported by Wille Leptonycteris nivalis has been known to share caves
(1954), but were not detected in other studies (Greenbaum and Plecotus townsendii (Barbour and Davis, 1969; Davis, 197
Phillips, 1974; Park and Hall, 1951; Winkelmann, 1971). terla, 1972). Myotis thysanodes and M. volans have been

Most of the mass of the tongue in L. nivalis is composed of in roosts used by L. nivalis, but not when L. nivalis was","Hensley & Wilkins, 1988.pdf",PDF 1.6,Leptonycteris nivalis,,,,page2pdf-2.1,iText® 5.5.8 ©2000-2015 iText Group NV (AGPL-version); modified using iText® 7.1.3 ©2000-2018 iText Group NV (JSTOR Michigan; licensed version),D:20160808174246Z,D:20200911233644Z,,,"papers/test_samples/murcielagos/Hensley & Wilkins, 1988.pdf",5,4,0,,,,9.0
