page_content,source,species_folder,format,title,author,subject,keywords,creator,producer,creationDate,modDate,trapped,encryption,file_path,page_count,page,start_index,error_indx,text,category,racional
"_THERYA, 2015, Vol. 6 (1): 89-102_ DOI: 10.12933/therya-15-233, ISSN 2007-3364

**Conservation nectar bats**
**(Phyllostomidae: Glossophagini)**
**at risk in Coahuila and Nuevo Leon**

# Conservación de murciélagos nectarívoros
 (Phyllostomidae: Glossophagini) en riesgo en
 Coahuila y Nuevo León


**Emma P. Gómez-Ruiz** **[1, 2*]** **, Citlally Jimenez** **[1, 2, 3]** **, Jose Juan Flores-Maldonado** **[2]** **, Thomas E. Lacher Jr** **[1 ]**

**y Jane M. Packard** **[3]**

1 Biodiversity Assessment and Monitoring Lab, Department of Wildlife and Fisheries Sciences, Texas A&M University. College
Station, Texas, Estados Unidos de America. E-mail: emmapgomez@tamu.edu (EPG-R), p.citlally.jimenez@gmail.com (CJ), tlacher@
tamu.edu (TEL).
2 Especies, Sociedad y Habitat, A.C., Valle Esmeralda 511 A, Colonia Mirador de la Silla, Guadalupe, Nuevo León, México, 67170.
Email: jflores@eshaconservacion.org (JJF-M)
3 Biodiversity and Stewardship Lab, Department of Wildlife and Fisheries Sciences, Texas A&M University, College Station, Texas,
Estados Unidos de America, E-mail: j-packard@tamu.edu (JMP)
*Corresponding author

**_Introduction:_** Cave-dwelling nectar-feeding bats (Phyllostomidae: Glossophagini) face greater danger of","Gómez-Ruiz et al., 2015.pdf",Leptonycteris,PDF 1.6,,,,,Adobe InDesign CC 2014 (Windows),Adobe PDF Library 11.0,D:20150213181359-07'00',D:20150630193014-05'00',,,"papers/by_species/Leptonycteris/Gómez-Ruiz et al., 2015.pdf",13,1,0,0.0,,,
"**_Introduction:_** Cave-dwelling nectar-feeding bats (Phyllostomidae: Glossophagini) face greater danger of

extinction compared to other bats due to their restricted diet and the limited availability of suitable caves. Recent
conservation biology literature suggests that successful conservation strategies should consider both biological
and social perspectives. This paper presents the biological and social perspectives considered to implement
conservation efforts for the threatened species _Leptonycteris nivalis_ and _Choeronycteris mexicana_ in the states of
Coahuila and Nuevo Leon. Our objectives were to: 1) document caves used by these species, 2) describe communitybased conservation strategies that link key actors (local communities, scientists, educators, government entities)
resulting in a network, and 3) propose strategies to strengthen the links between key actors in the bat conservation
network in order to maintain it in the long term.

**_Material and methods:_** To document caves used by _L. nivalis_ and _C. mexicana_ in Coahuila and Nuevo Leon, we

combined searching available literature for known roosting sites and field surveys to confirm sites not previously
reported. We implemented community-based conservation strategies with targeted local communities through
workshops and used surveys to obtain indicators of knowledge and perception of bats by members of the
communities.

**_Results:_** We report six caves used by nectar-feeding bats, which together house 12 species of bats (Table 1).

The community-based conservation strategies that we implemented with local communities are described in
four phases: information, communication, education, and training. A total of 574 residents from 52 communities
participated in the study area. Surveys indicate that 60 % of the participants do not have knowledge of bat biology,
80 % are not aware of bats’ ecological functions, and 71 % mention that bats are animals that cause fear.","Gómez-Ruiz et al., 2015.pdf",Leptonycteris,PDF 1.6,,,,,Adobe InDesign CC 2014 (Windows),Adobe PDF Library 11.0,D:20150213181359-07'00',D:20150630193014-05'00',,,"papers/by_species/Leptonycteris/Gómez-Ruiz et al., 2015.pdf",13,1,1126,,"**_Introduction:_** Cave-dwelling nectar-feeding bats (Phyllostomidae: Glossophagini) face greater danger of

extinction compared to other bats due to their restricted diet and the limited availability of suitable caves. Recent
conservation biology literature suggests that successful conservation strategies should consider both biological
and social perspectives. This paper presents the biological and social perspectives considered to implement
conservation efforts for the threatened species _Leptonycteris nivalis_ and _Choeronycteris mexicana_ in the states of
Coahuila and Nuevo Leon. Our objectives were to: 1) document caves used by these species, 2) describe communitybased conservation strategies that link key actors (local communities, scientists, educators, government entities)
resulting in a network, and 3) propose strategies to strengthen the links between key actors in the bat conservation
network in order to maintain it in the long term.

**_Material and methods:_** To document caves used by _L. nivalis_ and _C. mexicana_ in Coahuila and Nuevo Leon, we

combined searching available literature for known roosting sites and field surveys to confirm sites not previously
reported. We implemented community-based conservation strategies with targeted local communities through
workshops and used surveys to obtain indicators of knowledge and perception of bats by members of the
communities.

**_Results:_** We report six caves used by nectar-feeding bats, which together house 12 species of bats (Table 1).

The community-based conservation strategies that we implemented with local communities are described in
four phases: information, communication, education, and training. A total of 574 residents from 52 communities
participated in the study area. Surveys indicate that 60 % of the participants do not have knowledge of bat biology,
80 % are not aware of bats’ ecological functions, and 71 % mention that bats are animals that cause fear.",Biología de la especie,"El texto describe la conducta de los murciélagos nectarívoros que habitan en cuevas, su alimentación y su interacción con el ambiente. También menciona la percepción que tienen las comunidades locales sobre los murciélagos."
"**_Conclusions:_** We propose a conservation network consisting of key actors (local communities, scientists, non
governmental organizations, government entities, and financial institutions) with links that are strengthened by
bi-directional communication (Figure 2). Flow of resources and information through networks such as this will
facilitate the integration of social and biological perspectives for successful conservation actions.

**_Key words:_** environmental education, conservation planning, community-based conservation, _Leptonycteris_

_nivalis,_ _Choeronycteris mexicana_


-----","Gómez-Ruiz et al., 2015.pdf",Leptonycteris,PDF 1.6,,,,,Adobe InDesign CC 2014 (Windows),Adobe PDF Library 11.0,D:20150213181359-07'00',D:20150630193014-05'00',,,"papers/by_species/Leptonycteris/Gómez-Ruiz et al., 2015.pdf",13,1,3096,,"**_Conclusions:_** We propose a conservation network consisting of key actors (local communities, scientists, non
governmental organizations, government entities, and financial institutions) with links that are strengthened by
bi-directional communication (Figure 2). Flow of resources and information through networks such as this will
facilitate the integration of social and biological perspectives for successful conservation actions.

**_Key words:_** environmental education, conservation planning, community-based conservation, _Leptonycteris_


-----",Other,"El texto habla sobre la importancia de la comunicación entre los actores involucrados en la conservación de la especie, pero no entra en detalles sobre la especie en sí o su biología."
"## Introducción

Los murciélagos son el segundo grupo más diverso de mamíferos con más de 1,116 especies en el
mundo (Simmons 2005). México se posiciona como el quinto país con mayor riqueza de especies
de murciélagos en el mundo con 138 especies (Medellin _et al._ 2008). Por su parte, los estados de
Coahuila y Nuevo León albergan el 31 % de la quiropterofauna mexicana (43 especies en total;
Baker 1956; Easterla y Baccus 1973; Wilson _et al._ 1985; Moreno-Valdez 1996; Jiménez-Guzmán _et_
_al._ 1999; Contreras-Balderas _et al._ 2007).

A nivel mundial, los quirópteros representan uno de los grupos de mamíferos más amenazados","Gómez-Ruiz et al., 2015.pdf",Leptonycteris,PDF 1.6,,,,,Adobe InDesign CC 2014 (Windows),Adobe PDF Library 11.0,D:20150213181359-07'00',D:20150630193014-05'00',,,"papers/by_species/Leptonycteris/Gómez-Ruiz et al., 2015.pdf",13,2,0,,"## Introducción

Los murciélagos son el segundo grupo más diverso de mamíferos con más de 1,116 especies en el
mundo (Simmons 2005). México se posiciona como el quinto país con mayor riqueza de especies
de murciélagos en el mundo con 138 especies (Medellin _et al._ 2008). Por su parte, los estados de
Coahuila y Nuevo León albergan el 31 % de la quiropterofauna mexicana (43 especies en total;
Baker 1956; Easterla y Baccus 1973; Wilson _et al._ 1985; Moreno-Valdez 1996; Jiménez-Guzmán _et_
_al._ 1999; Contreras-Balderas _et al._ 2007).

A nivel mundial, los quirópteros representan uno de los grupos de mamíferos más amenazados",Introducción,El texto es una introducción general sobre los murciélagos y su diversidad en México y el mundo. No entra en detalles sobre ninguna especie en particular.
"A nivel mundial, los quirópteros representan uno de los grupos de mamíferos más amenazados

(Mickleburgh _et al._ 2002). En la misma tendencia, más de la cuarta parte de las especies de
murciélagos presentes en México se encuentran en alguna categoría de riesgo bajo la norma oficial
mexicana de protección de especies nativas del país (NOM-059-SEMARNAT-2010; SEMARNAT 2010).
Entre la quiropterofauna mexicana, la tribu Glossophagini (Phyllostomidae: Glossophaginae) son
particularmente vulnerables al riesgo de extinción, dado que presentan hábitos alimenticios muy
específicos (nectarívoros-polinívoros), además de que son sensibles a disturbios en las cuevas
donde se refugian (Arita y Santos-del-Prado 1999). Entre los murciélagos cavernícolas del norte
de México incluidos en la NOM-059-SEMARNAT con categoría de amenazados se encuentran
las especies nectarívoras _Leptonycteris nivalis_ y _Choeronycteris mexicana_ . Estas dos especies
presentan un amplio rango de distribución que abarca una porción considerable del territorio de
México y parte del sur de Estados Unidos.  Globalmente, _L. nivalis_ es clasificado como en peligro
(Arroyo-Cabrales _et al._ 2008) y _C. mexicana_ como casi amenazado (Arroyo-Cabrales y Perez 2008)
por la Unión Internacional para la Conservación de la Naturaleza (UICN) debido a que se estima
una disminucion en sus poblaciones del 50 y 30 por ciento respectivamente, en los últimos diez
años. Estas especies de murciélagos nectarívoros juegan un rol ecológico muy importante para
los ecosistemas áridos y semiáridos de México al polinizar plantas clave como los agaves y las
cactáceas.

La presencia de refugios y el hábitat disponible en el norte de México son de especial relevancia","Gómez-Ruiz et al., 2015.pdf",Leptonycteris,PDF 1.6,,,,,Adobe InDesign CC 2014 (Windows),Adobe PDF Library 11.0,D:20150213181359-07'00',D:20150630193014-05'00',,,"papers/by_species/Leptonycteris/Gómez-Ruiz et al., 2015.pdf",13,2,541,,"A nivel mundial, los quirópteros representan uno de los grupos de mamíferos más amenazados

(Mickleburgh _et al._ 2002). En la misma tendencia, más de la cuarta parte de las especies de
murciélagos presentes en México se encuentran en alguna categoría de riesgo bajo la norma oficial
mexicana de protección de especies nativas del país (NOM-059-SEMARNAT-2010; SEMARNAT 2010).
Entre la quiropterofauna mexicana, la tribu Glossophagini (Phyllostomidae: Glossophaginae) son
particularmente vulnerables al riesgo de extinción, dado que presentan hábitos alimenticios muy
específicos (nectarívoros-polinívoros), además de que son sensibles a disturbios en las cuevas
donde se refugian (Arita y Santos-del-Prado 1999). Entre los murciélagos cavernícolas del norte
de México incluidos en la NOM-059-SEMARNAT con categoría de amenazados se encuentran
las especies nectarívoras _Leptonycteris nivalis_ y _Choeronycteris mexicana_ . Estas dos especies
presentan un amplio rango de distribución que abarca una porción considerable del territorio de
México y parte del sur de Estados Unidos.  Globalmente, _L. nivalis_ es clasificado como en peligro
(Arroyo-Cabrales _et al._ 2008) y _C. mexicana_ como casi amenazado (Arroyo-Cabrales y Perez 2008)
por la Unión Internacional para la Conservación de la Naturaleza (UICN) debido a que se estima
una disminucion en sus poblaciones del 50 y 30 por ciento respectivamente, en los últimos diez
años. Estas especies de murciélagos nectarívoros juegan un rol ecológico muy importante para
los ecosistemas áridos y semiáridos de México al polinizar plantas clave como los agaves y las
cactáceas.

La presencia de refugios y el hábitat disponible en el norte de México son de especial relevancia",Estado de conservación de la especie,Se menciona el estado de conservación de las especies _Leptonycteris nivalis_ y _Choeronycteris mexicana_ según la NOM-059-SEMARNAT-2010 y la Unión Internacional para la Conservación de la Naturaleza (UICN).
"La presencia de refugios y el hábitat disponible en el norte de México son de especial relevancia

para ambas especies. Para el caso de _C. mexicana_, se han documentado hembras con crías durante
los meses de verano en varios sitios de Coahuila y Nuevo León. A pesar de que _C. mexicana_
presenta una amplia distribución, parece ser una constante la baja abundancia de individuos en
los refugios donde ha sido reportada (Baker 1956; Jiménez-Guzmán _et al._ 1999). En el caso de _L._
_nivalis_, dentro de su amplio rango de distribución ( _i. e._ desde el centro de México hasta el Sur de
Estados Unidos de América) solamente se reconocen dos cuevas de maternidad ( _i. e._ donde se han
encontrado hembras preñadas o con crías) ubicadas en la parte norte de su distribución; una en
el estado de Nuevo León, México y la otra en el estado de Texas, Estados Unidos (Easterla 1972;
Medellín 1994). Además hay evidencia que sugiere que las hembras preñadas migran al norte
cada primavera siguiendo los eventos de floración de plantas del género _Agave_ (Moreno-Valdez
_et al._ 2000). Lo anterior hace resaltar la importancia de proteger refugios y el hábitat de estas
especies de filostómidos en riesgo de extinción, particularmente en los estados de Coahuila y
Nuevo León.

A pesar de que los quirópteros se distinguen como uno de los grupos de mamíferos más","Gómez-Ruiz et al., 2015.pdf",Leptonycteris,PDF 1.6,,,,,Adobe InDesign CC 2014 (Windows),Adobe PDF Library 11.0,D:20150213181359-07'00',D:20150630193014-05'00',,,"papers/by_species/Leptonycteris/Gómez-Ruiz et al., 2015.pdf",13,2,2168,,"La presencia de refugios y el hábitat disponible en el norte de México son de especial relevancia

para ambas especies. Para el caso de _C. mexicana_, se han documentado hembras con crías durante
los meses de verano en varios sitios de Coahuila y Nuevo León. A pesar de que _C. mexicana_
presenta una amplia distribución, parece ser una constante la baja abundancia de individuos en
los refugios donde ha sido reportada (Baker 1956; Jiménez-Guzmán _et al._ 1999). En el caso de _L._
_nivalis_, dentro de su amplio rango de distribución ( _i. e._ desde el centro de México hasta el Sur de
Estados Unidos de América) solamente se reconocen dos cuevas de maternidad ( _i. e._ donde se han
encontrado hembras preñadas o con crías) ubicadas en la parte norte de su distribución; una en
el estado de Nuevo León, México y la otra en el estado de Texas, Estados Unidos (Easterla 1972;
Medellín 1994). Además hay evidencia que sugiere que las hembras preñadas migran al norte
cada primavera siguiendo los eventos de floración de plantas del género _Agave_ (Moreno-Valdez
_et al._ 2000). Lo anterior hace resaltar la importancia de proteger refugios y el hábitat de estas
especies de filostómidos en riesgo de extinción, particularmente en los estados de Coahuila y
Nuevo León.

A pesar de que los quirópteros se distinguen como uno de los grupos de mamíferos más",Tipo de ambiente en donde se desarrolla la especie,"El texto describe el tipo de hábitat en el que se encuentran las especies, el tipo de vegetación y la importancia de proteger los refugios y el hábitat de estas especies de filostómidos en riesgo de extinción."
"A pesar de que los quirópteros se distinguen como uno de los grupos de mamíferos más

amenazados en el mundo y en nuestro país, pocas publicaciones hablan de los esfuerzos de
conservación para favorecer a las especies de murciélagos cavernícolas en riesgo. Ejemplos
concretos son las acciones realizadas por el Programa de Conservación de Murciélagos de México
(PCMM) en cuevas de los estados de Morelos y Campeche (L _ó_ pez-Segurajauregui _et al._ 2006;
Vargas-Contreras _et al._ 2012). Particularmente para el noreste de México, destacan los esfuerzos
desarrollados por Arnulfo Moreno Valdez en el monitoreo, educación y conservación de los
murciélagos cavernícolas de esta región (Tuttle y Moreno 2005), así como los esfuerzos para la


-----","Gómez-Ruiz et al., 2015.pdf",Leptonycteris,PDF 1.6,,,,,Adobe InDesign CC 2014 (Windows),Adobe PDF Library 11.0,D:20150213181359-07'00',D:20150630193014-05'00',,,"papers/by_species/Leptonycteris/Gómez-Ruiz et al., 2015.pdf",13,2,3437,,"A pesar de que los quirópteros se distinguen como uno de los grupos de mamíferos más

amenazados en el mundo y en nuestro país, pocas publicaciones hablan de los esfuerzos de
conservación para favorecer a las especies de murciélagos cavernícolas en riesgo. Ejemplos
concretos son las acciones realizadas por el Programa de Conservación de Murciélagos de México
(PCMM) en cuevas de los estados de Morelos y Campeche (L _ó_ pez-Segurajauregui _et al._ 2006;
Vargas-Contreras _et al._ 2012). Particularmente para el noreste de México, destacan los esfuerzos
desarrollados por Arnulfo Moreno Valdez en el monitoreo, educación y conservación de los
murciélagos cavernícolas de esta región (Tuttle y Moreno 2005), así como los esfuerzos para la


-----",Estado de conservación de la especie,El texto habla sobre los esfuerzos de conservación para favorecer a las especies de murciélagos cavernícolas en riesgo.
"protección como Santuario Natural a la Cueva de la Boca, Nuevo León, por parte de Pronatura
Noreste (Pronatura Noreste 2006).

Una de las limitantes para definir acciones de conservación es la escasa disponibilidad de

información sobre la biología y ecología de las especies en riesgo. En el caso de los murciélagos
nectarívoros _L. nivalis_ y _C. mexicana_, su sobrevivencia depende de la disponibilidad de alimento
( _i. e_ . principalmente néctar de flores para ambas especies), y de sitios de refugio ( _i. e._ cuevas) que
reúnen las características requeridas por cada especie. Además del conocimiento ecológico, la
adecuada implementación de estrategias de conservación requiere considerar el componente
social e incluir a las comunidades locales (Brosius _et al._ 1998). La educación ambiental puede
ser un elemento clave para fortalecer la comunicación entre las partes locales interesadas con
profesionales de conservación y permitir que se aplique la información científica en acciones de
conservación (Bizerril _et al._ 2011; Vargas-Contreras _et al._ 2012).

Los programas de posgrado diseñados para integrar perspectivas sociales y biológicas pueden

servir de catalizadores al reforzar redes de actores claves requeridas para acciones de conservación
(Packard y Schmidly 1991; Fitzgerald y Stronza 2009). En este artículo, describimos un caso
de estudio en el que las alianzas entre una organización no gubernamental local y científicos
académicos (estudiantes de licenciatura y posgrado) reforzaron la participación de comunidades
locales en la protección de cuevas usadas por murciélagos en riesgo.

Con la intención de contribuir a la generación de información ecológica de murciélagos","Gómez-Ruiz et al., 2015.pdf",Leptonycteris,PDF 1.6,,,,,Adobe InDesign CC 2014 (Windows),Adobe PDF Library 11.0,D:20150213181359-07'00',D:20150630193014-05'00',,,"papers/by_species/Leptonycteris/Gómez-Ruiz et al., 2015.pdf",13,3,0,,"protección como Santuario Natural a la Cueva de la Boca, Nuevo León, por parte de Pronatura
Noreste (Pronatura Noreste 2006).

Una de las limitantes para definir acciones de conservación es la escasa disponibilidad de

información sobre la biología y ecología de las especies en riesgo. En el caso de los murciélagos
nectarívoros _L. nivalis_ y _C. mexicana_, su sobrevivencia depende de la disponibilidad de alimento
( _i. e_ . principalmente néctar de flores para ambas especies), y de sitios de refugio ( _i. e._ cuevas) que
reúnen las características requeridas por cada especie. Además del conocimiento ecológico, la
adecuada implementación de estrategias de conservación requiere considerar el componente
social e incluir a las comunidades locales (Brosius _et al._ 1998). La educación ambiental puede
ser un elemento clave para fortalecer la comunicación entre las partes locales interesadas con
profesionales de conservación y permitir que se aplique la información científica en acciones de
conservación (Bizerril _et al._ 2011; Vargas-Contreras _et al._ 2012).

Los programas de posgrado diseñados para integrar perspectivas sociales y biológicas pueden

servir de catalizadores al reforzar redes de actores claves requeridas para acciones de conservación
(Packard y Schmidly 1991; Fitzgerald y Stronza 2009). En este artículo, describimos un caso
de estudio en el que las alianzas entre una organización no gubernamental local y científicos
académicos (estudiantes de licenciatura y posgrado) reforzaron la participación de comunidades
locales en la protección de cuevas usadas por murciélagos en riesgo.

Con la intención de contribuir a la generación de información ecológica de murciélagos",Other,"El texto habla sobre la importancia de la educación ambiental y la participación de las comunidades locales en la protección de cuevas usadas por murciélagos en riesgo. No se menciona nada sobre la clasificación, distribución, tipo de ambiente, biología, ecología, genética, importancia, estado de conservación, especies prioritarias para la conservación o necesidades de información de los murciélagos."
"Con la intención de contribuir a la generación de información ecológica de murciélagos

nectarívoros amenazados, a partir del 2012 se iniciaron actividades de monitoreo para identificar
sitios prioritarios para su conservación en los estados de Coahuila y Nuevo León (EPGR y TEL datos
no publicados). Posteriormente, en 2013 se realizaron actividades de educación ambiental y
talleres participativos con las comunidades que residen en la cercanía a las cuevas identificadas
como refugio de _L. nivalis_ y/o _C. mexicana_, con el fin de informarlas sobre la importancia del rol
ecológico de estos mamíferos e involucrarlas en acciones de conservación (CJ y JMP datos no
publicados; ESHAC-CONANP 2013). Los objetivos del presente artículo son: 1) documentar los
refugios identificados para _L. nivalis_ y _C. mexicana,_ 2) diseñar estrategias sociales que vinculen a
actores clave (comunidades locales, científicos, educadores, organizaciones no gubernamentales,
entidades gubernamentales), resultando en una red de conservación, y 3) proponer estrategias
para reforzar los vínculos entre los actores clave de la red de conservación de murciélagos de
manera que se mantenga a largo plazo.

## Métodos","Gómez-Ruiz et al., 2015.pdf",Leptonycteris,PDF 1.6,,,,,Adobe InDesign CC 2014 (Windows),Adobe PDF Library 11.0,D:20150213181359-07'00',D:20150630193014-05'00',,,"papers/by_species/Leptonycteris/Gómez-Ruiz et al., 2015.pdf",13,3,1617,,"Con la intención de contribuir a la generación de información ecológica de murciélagos

nectarívoros amenazados, a partir del 2012 se iniciaron actividades de monitoreo para identificar
sitios prioritarios para su conservación en los estados de Coahuila y Nuevo León (EPGR y TEL datos
no publicados). Posteriormente, en 2013 se realizaron actividades de educación ambiental y
talleres participativos con las comunidades que residen en la cercanía a las cuevas identificadas
como refugio de _L. nivalis_ y/o _C. mexicana_, con el fin de informarlas sobre la importancia del rol
ecológico de estos mamíferos e involucrarlas en acciones de conservación (CJ y JMP datos no
publicados; ESHAC-CONANP 2013). Los objetivos del presente artículo son: 1) documentar los
refugios identificados para _L. nivalis_ y _C. mexicana,_ 2) diseñar estrategias sociales que vinculen a
actores clave (comunidades locales, científicos, educadores, organizaciones no gubernamentales,
entidades gubernamentales), resultando en una red de conservación, y 3) proponer estrategias
para reforzar los vínculos entre los actores clave de la red de conservación de murciélagos de
manera que se mantenga a largo plazo.

## Métodos",Other,"El texto trata sobre la conservación de murciélagos, pero no se enfoca en ninguna categoría específica. Se mencionan actividades de monitoreo, educación ambiental y talleres participativos, pero no se proporciona información detallada sobre la clasificación, distribución, tipo de ambiente, biología, ecología, genética, importancia o estado de conservación de las especies de murciélagos en cuestión."
"## Métodos

Para documentar cuevas usadas por _L. nivalis_ y _C. mexicana_ en Coahuila y Nuevo León, combinamos
la búsqueda de refugios conocidos para ambas especies en la literatura disponible (Baker 1956;
Easterla y Baccus 1973; Wilson _et al._ 1985; Arroyo-Cabrales _et al._ 1987; Arita y Humphrey 1988;
Hensley y Wilkins 1988; Moreno-Valdez 1996; Jimenéz-Guzmán _et al._ 1999; Moreno-Valdez _et al._
2000; Contreras-Balderas _et al._ 2007) y trabajo de campo para identificar sitios no documentados
previamente, el cuál consistió en contactar a comunidades locales en zonas previamente
identificadas como hábitat potencial (EPGR y TEL datos no publicados) y obtener información
sobre cuevas mediante entrevistas, a manera de diálogo semi-estructurado con informantes clave
(residentes de la comunidad con conocimiento de cuevas en la zona; Geilfus 2002). Visitamos las
cuevas identificadas entre los meses de mayo y agosto del 2012 y 2013, en al menos dos ocasiones
cada año. En cada visita se colocaron redes de niebla cerca de la entrada a las cuevas para capturar
murciélagos y documentar las especies que utilizan el sitio. Finalmente, consolidamos un listado
de especies de murciélagos reportados para cada cueva en la literatura y como resultado de
nuestros muestreos.


-----","Gómez-Ruiz et al., 2015.pdf",Leptonycteris,PDF 1.6,,,,,Adobe InDesign CC 2014 (Windows),Adobe PDF Library 11.0,D:20150213181359-07'00',D:20150630193014-05'00',,,"papers/by_species/Leptonycteris/Gómez-Ruiz et al., 2015.pdf",13,3,2805,,"## Métodos

Para documentar cuevas usadas por _L. nivalis_ y _C. mexicana_ en Coahuila y Nuevo León, combinamos
la búsqueda de refugios conocidos para ambas especies en la literatura disponible (Baker 1956;
Easterla y Baccus 1973; Wilson _et al._ 1985; Arroyo-Cabrales _et al._ 1987; Arita y Humphrey 1988;
Hensley y Wilkins 1988; Moreno-Valdez 1996; Jimenéz-Guzmán _et al._ 1999; Moreno-Valdez _et al._
2000; Contreras-Balderas _et al._ 2007) y trabajo de campo para identificar sitios no documentados
previamente, el cuál consistió en contactar a comunidades locales en zonas previamente
identificadas como hábitat potencial (EPGR y TEL datos no publicados) y obtener información
sobre cuevas mediante entrevistas, a manera de diálogo semi-estructurado con informantes clave
(residentes de la comunidad con conocimiento de cuevas en la zona; Geilfus 2002). Visitamos las
cuevas identificadas entre los meses de mayo y agosto del 2012 y 2013, en al menos dos ocasiones
cada año. En cada visita se colocaron redes de niebla cerca de la entrada a las cuevas para capturar
murciélagos y documentar las especies que utilizan el sitio. Finalmente, consolidamos un listado
de especies de murciélagos reportados para cada cueva en la literatura y como resultado de
nuestros muestreos.


-----",Distribución de la especie,El texto menciona la búsqueda de refugios conocidos para ambas especies en la literatura disponible y trabajo de campo para identificar sitios no documentados previamente. Esto se relaciona con la distribución de las especies en Coahuila y Nuevo León.
