page_content,source,species_folder,format,title,author,subject,keywords,creator,producer,creationDate,modDate,trapped,encryption,file_path,page_count,page,start_index,text,category,racional,error_indx
"© INRA/DIB/AGIB/EDP Sciences

## Original article

# Observations on gynes and drones around nuptial flights in the stingless bees Tetragonisca angustula and Melipona beecheii (Hymenoptera, Apidae, Meliponinae)

## Johan Wilhelm VAN V EEN *, Marinus Jan S OMMEIJER

Department of Social Insects, Ethology and Socio-ecology, Laboratory of Comparative
Physiology, Utrecht University, P.O. Box 80.086, NL-3508 TB Utrecht, The Netherlands

(Received 29 January 1999; accepted 5 September 1999)

**Abstract** – The nuptial flight of gynes of _Tetragonisca angustula_ and _Melipona beecheii_ was studied. The moment of nuptial flight was found to be related to the ambient temperature, and the duration of the nuptial flight for _M. beecheii_ was longer in November (rainy season) than in March (dry
season). A repeated mating flight was recorded for two gynes of _T. angustula_ . Three of five _T. angus-_
_tula_ queens and all six _M. beecheii_ queens were mated successfully. Behavioural data of drones and
gynes shortly before and after the nuptial flight are presented. Drones of _T. angustula_ participated in
a congregation for up to three days. The importance of pheromones for the attraction of drones and
gynes is discussed. An hypothesis explaining the observed seasonal occurrence of male congregations
near nests of _T. angustula_ is presented.

**mating / drone congregation /** **_Melipona beecheii_** **/** **_Tetragonisca angustula /_** **stingless bees**


**1. INTRODUCTION**

The complete mating flight of any stingless bee has not been observed so far. The
mating flight is undertaken from the mother
colony in case of supersedure and from the
filial nest in case of swarming. For _Meli-_
_ponini_ it is known that gynes are between","Van-Veen & Sommeijer, 2000.pdf",Melipona_beecheii,PDF 1.1,05¥MO106.Wilhelm van Veen,,,,QuarkXPress Passportª 4.1: LaserWriter 8 F1-8.4.3,Acrobat Distiller 3.01 pour Power Macintosh,D:20000204122453,,,,"papers/by_species/Melipona_beecheii/Van-Veen & Sommeijer, 2000.pdf",8,1,0,"© INRA/DIB/AGIB/EDP Sciences

## Original article

# Observations on gynes and drones around nuptial flights in the stingless bees Tetragonisca angustula and Melipona beecheii (Hymenoptera, Apidae, Meliponinae)

## Johan Wilhelm VAN V EEN *, Marinus Jan S OMMEIJER

Department of Social Insects, Ethology and Socio-ecology, Laboratory of Comparative
Physiology, Utrecht University, P.O. Box 80.086, NL-3508 TB Utrecht, The Netherlands

(Received 29 January 1999; accepted 5 September 1999)

**Abstract** – The nuptial flight of gynes of _Tetragonisca angustula_ and _Melipona beecheii_ was studied. The moment of nuptial flight was found to be related to the ambient temperature, and the duration of the nuptial flight for _M. beecheii_ was longer in November (rainy season) than in March (dry
season). A repeated mating flight was recorded for two gynes of _T. angustula_ . Three of five _T. angus-_
_tula_ queens and all six _M. beecheii_ queens were mated successfully. Behavioural data of drones and
gynes shortly before and after the nuptial flight are presented. Drones of _T. angustula_ participated in
a congregation for up to three days. The importance of pheromones for the attraction of drones and
gynes is discussed. An hypothesis explaining the observed seasonal occurrence of male congregations
near nests of _T. angustula_ is presented.

**mating / drone congregation /** **_Melipona beecheii_** **/** **_Tetragonisca angustula /_** **stingless bees**


**1. INTRODUCTION**

The complete mating flight of any stingless bee has not been observed so far. The
mating flight is undertaken from the mother
colony in case of supersedure and from the
filial nest in case of swarming. For _Meli-_
_ponini_ it is known that gynes are between",Biología de la especie,El texto describe el comportamiento de los zánganos y las reinas antes y después del vuelo nupcial. También menciona la importancia de las feromonas para atraer a los zánganos y las reinas.,
"3 and 8 days old when they undertake the
nuptial flight [12, 16], although in one case
a 17 hours old gyne flew out on a nuptial
flight and mated successfully [16]. In confinement, gynes of _M. quadrifasciata_ were
able to mate on the day of emergence [2].
Based on sperm counts of open mated
queens of _M. quadrifasciata_ compared with



-----","Van-Veen & Sommeijer, 2000.pdf",Melipona_beecheii,PDF 1.1,05¥MO106.Wilhelm van Veen,,,,QuarkXPress Passportª 4.1: LaserWriter 8 F1-8.4.3,Acrobat Distiller 3.01 pour Power Macintosh,D:20000204122453,,,,"papers/by_species/Melipona_beecheii/Van-Veen & Sommeijer, 2000.pdf",8,1,1750,"3 and 8 days old when they undertake the
nuptial flight [12, 16], although in one case
a 17 hours old gyne flew out on a nuptial
flight and mated successfully [16]. In confinement, gynes of _M. quadrifasciata_ were
able to mate on the day of emergence [2].
Based on sperm counts of open mated
queens of _M. quadrifasciata_ compared with



-----",Biología de la especie,"El texto describe el comportamiento de apareamiento de la especie _M. quadrifasciata_, lo que se incluye en la categoría de Biología de la especie.",
"controlled mated queens, insemination by
a single drone was concluded [2, 7]. That
single mating seems to be the rule in stingless bees was confirmed through genetic
relatedness studies between queen and
daughters for thirteen species [10]. Multiple mating was however concluded in one
case for _T. angustula_ [6], and for several
cases in _Scaptotrigona postica_ [9]. The nuptial flight may last as short as six minutes
in _M. beecheii_ [16], but up to 102 minutes in
_M. quadrifasciata_ [12]. In _Melipona,_ drone
congregations are not nest associated [14],
which may explain the generally large duration of the nuptial flight if compared with
those of gynes of _Trigonini,_ in which nestassociated drone congregations occur [5,
11]. It was observed that drones and gynes
of _M. favosa_ flew off after arrival of the
gynes at a drone congregation area and did
not mate at the site [14].
Data are presented on how environmental cues and behaviour of gynes and drones
influence the nuptial flight in _M. beecheii_
and _T. angustula_, and discussed in relation
with mating strategies of stingless bees.

**2. MATERIALS AND METHODS**

Between November 1991 and May 1996,
during six observation periods, each lasting
1 to 7 months, totaling 23 months, a total
of 58 hived colonies of _T. angustula_ and
19 experimentally established queen
deprived colonies of _M. beecheii_ were studied, at four different locations in Costa Rica

[16, 17]. Only the experimental set up of
the colonies from which mating flights were
undertaken will be described here.

**2.1. Bee colonies**

In the case of _T. angustula_, two of the
seven observed mating flights were undertaken from naturally founded colonies
recently established in hive boxes. The other
five nuptial flights were undertaken from
queenless colonies, established by putting","Van-Veen & Sommeijer, 2000.pdf",Melipona_beecheii,PDF 1.1,05¥MO106.Wilhelm van Veen,,,,QuarkXPress Passportª 4.1: LaserWriter 8 F1-8.4.3,Acrobat Distiller 3.01 pour Power Macintosh,D:20000204122453,,,,"papers/by_species/Melipona_beecheii/Van-Veen & Sommeijer, 2000.pdf",8,2,0,"controlled mated queens, insemination by
a single drone was concluded [2, 7]. That
single mating seems to be the rule in stingless bees was confirmed through genetic
relatedness studies between queen and
daughters for thirteen species [10]. Multiple mating was however concluded in one
case for _T. angustula_ [6], and for several
cases in _Scaptotrigona postica_ [9]. The nuptial flight may last as short as six minutes
in _M. beecheii_ [16], but up to 102 minutes in
_M. quadrifasciata_ [12]. In _Melipona,_ drone
congregations are not nest associated [14],
which may explain the generally large duration of the nuptial flight if compared with
those of gynes of _Trigonini,_ in which nestassociated drone congregations occur [5,
11]. It was observed that drones and gynes
of _M. favosa_ flew off after arrival of the
gynes at a drone congregation area and did
not mate at the site [14].
Data are presented on how environmental cues and behaviour of gynes and drones
influence the nuptial flight in _M. beecheii_
and _T. angustula_, and discussed in relation
with mating strategies of stingless bees.

**2. MATERIALS AND METHODS**

Between November 1991 and May 1996,
during six observation periods, each lasting
1 to 7 months, totaling 23 months, a total
of 58 hived colonies of _T. angustula_ and
19 experimentally established queen
deprived colonies of _M. beecheii_ were studied, at four different locations in Costa Rica

[16, 17]. Only the experimental set up of
the colonies from which mating flights were
undertaken will be described here.

**2.1. Bee colonies**

In the case of _T. angustula_, two of the
seven observed mating flights were undertaken from naturally founded colonies
recently established in hive boxes. The other
five nuptial flights were undertaken from
queenless colonies, established by putting",Biología de la especie,"El texto describe el comportamiento de las abejas, la duración del vuelo nupcial y la formación de congregaciones de zánganos. Estos aspectos están relacionados con la biología de la especie.",
"200 to 400 workers, several combs with
emerging brood, one royal cell and some
food stores in a small observation box. To
study the mating flight of gynes of _M. bee-_
_cheii_, small nuclei were formed by putting 50
to 180 workers and some 100 to 400 brood
cells in small observation boxes [16].

**2.2. Measurements**

The presence of gynes in the colonies of
_M. beecheii_ was checked every two hours
between 6 and 18 h. Once a gyne was
accepted [17], observations were intensified. The moment and duration of the nuptial flight and related behaviour of the gyne
were recorded. The age of the gyne, outside
temperature and humidity were measured.
Special attention was paid to drone presence, and to the presence of a mating sign
upon returning of the gyne.
The boxes, located to attract swarms of
_T. angustula_, were hung up at 2 to 20 m distance from the occupied hives, and had a
capacity of 3 to 5 l. These boxes were
checked daily for the presence of entering
workers and new structures such as an
entrance tube [5]. Once evidence of nest
foundation was seen, observations were carried out every hour during daylight and
records made as described above for
_M. beecheii_ . Drone presence was counted
every fifteen minutes for two colonies on
the day of the nuptial flight and the day after.
All recordings of behaviour were through
direct observations. An analysis of variance
was performed to calculate the correlation
between the moment nuptial flights took
place and several environmental cues.

**3. RESULTS**

**3.1. Nuptial flight and gyne behaviour**

**_3.1.1. Tetragonisca angustula_**

The nuptial flight of five gynes of
_T. angustula_ was observed ( Tab. I ). For


-----","Van-Veen & Sommeijer, 2000.pdf",Melipona_beecheii,PDF 1.1,05¥MO106.Wilhelm van Veen,,,,QuarkXPress Passportª 4.1: LaserWriter 8 F1-8.4.3,Acrobat Distiller 3.01 pour Power Macintosh,D:20000204122453,,,,"papers/by_species/Melipona_beecheii/Van-Veen & Sommeijer, 2000.pdf",8,2,1826,"200 to 400 workers, several combs with
emerging brood, one royal cell and some
food stores in a small observation box. To
study the mating flight of gynes of _M. bee-_
_cheii_, small nuclei were formed by putting 50
to 180 workers and some 100 to 400 brood
cells in small observation boxes [16].

**2.2. Measurements**

The presence of gynes in the colonies of
_M. beecheii_ was checked every two hours
between 6 and 18 h. Once a gyne was
accepted [17], observations were intensified. The moment and duration of the nuptial flight and related behaviour of the gyne
were recorded. The age of the gyne, outside
temperature and humidity were measured.
Special attention was paid to drone presence, and to the presence of a mating sign
upon returning of the gyne.
The boxes, located to attract swarms of
_T. angustula_, were hung up at 2 to 20 m distance from the occupied hives, and had a
capacity of 3 to 5 l. These boxes were
checked daily for the presence of entering
workers and new structures such as an
entrance tube [5]. Once evidence of nest
foundation was seen, observations were carried out every hour during daylight and
records made as described above for
_M. beecheii_ . Drone presence was counted
every fifteen minutes for two colonies on
the day of the nuptial flight and the day after.
All recordings of behaviour were through
direct observations. An analysis of variance
was performed to calculate the correlation
between the moment nuptial flights took
place and several environmental cues.

**3. RESULTS**

**3.1. Nuptial flight and gyne behaviour**

**_3.1.1. Tetragonisca angustula_**

The nuptial flight of five gynes of
_T. angustula_ was observed ( Tab. I ). For


-----",Biología de la especie,"El texto describe el comportamiento de las gynes de _M. beecheii_ y _T. angustula_ durante el vuelo nupcial, incluyendo el momento y la duración del vuelo, el comportamiento relacionado de la gyne, la presencia de zánganos y la presencia de una señal de apareamiento al regresar de la gyne.",
"**Table I.** Mating flights, weather conditions and subsequent oviposition in _T. angustula_ (n.k. = not
known).

Gyne number 1 2 3 4 5 Average

Date 17/11 12/11 7/11 8/11 25/3 29/3 1/4
Age (days) n.k. n.k. 9-12 10-13 7 12 15 11
Time 11:01 10:41 14:30 14:00 12:12 15:00 13:30 12:59
Duration (s) 400 146 270 589 1224 180 692 500
Temp. (°C) – – 28.4 31.2 28.4 28.1 31.9 29.6
Rel. humidity – – 78 61 72 86 65 72
Air press. (mbar) – – 989 988 1001 979 997 991
Male presence 300 20 No No No No No

Start egg-laying 19/11 > 15/11 13/11 No No 3.3


gynes number three and five two successive nuptial flights were recorded for the
first time in stingless bees. Queen number 5
did not return inside the hive immediately
after the mating flight, but flew on both days
respectively for 27’00 and 11’58 minutes
outside in front of the hive, apparently having problems in finding the entrance. Once
she landed on the wall close to the entrance
she was helped in by us after a few minutes.
The data clearly show nuptial flights of a
short duration, especially when a male
aggregation was present close to the hive.
This was the case for gynes one and two.
None of the gynes had any mating sign upon
return.
All gynes performed a short orientation
flight when leaving the hive, flying backwards in circles, with the head directed
towards the entrance. Gyne number three
performed this orientation flight only the
first day, and flew straight out the second
day. Gynes number four and five probably
did not mate successfully, because no egglaying was observed within six weeks after
the nuptial flight(s). All other gynes started
egg-laying within two to five days after their
nuptial flight and samples showed worker
production, which is a clear indication of
successful mating. Seven to 15 days after
her nuptial flight, gyne number four was
observed 32 times in the entrance tube for


five to ten minutes, between 9:53 and 15:05,
but did not leave for a second nuptial flight.

**_3.1.1. Melipona beecheii_**","Van-Veen & Sommeijer, 2000.pdf",Melipona_beecheii,PDF 1.1,05¥MO106.Wilhelm van Veen,,,,QuarkXPress Passportª 4.1: LaserWriter 8 F1-8.4.3,Acrobat Distiller 3.01 pour Power Macintosh,D:20000204122453,,,,"papers/by_species/Melipona_beecheii/Van-Veen & Sommeijer, 2000.pdf",8,3,0,"**Table I.** Mating flights, weather conditions and subsequent oviposition in _T. angustula_ (n.k. = not
known).

Gyne number 1 2 3 4 5 Average

Date 17/11 12/11 7/11 8/11 25/3 29/3 1/4
Age (days) n.k. n.k. 9-12 10-13 7 12 15 11
Time 11:01 10:41 14:30 14:00 12:12 15:00 13:30 12:59
Duration (s) 400 146 270 589 1224 180 692 500
Temp. (°C) – – 28.4 31.2 28.4 28.1 31.9 29.6
Rel. humidity – – 78 61 72 86 65 72
Air press. (mbar) – – 989 988 1001 979 997 991
Male presence 300 20 No No No No No

Start egg-laying 19/11 > 15/11 13/11 No No 3.3


gynes number three and five two successive nuptial flights were recorded for the
first time in stingless bees. Queen number 5
did not return inside the hive immediately
after the mating flight, but flew on both days
respectively for 27’00 and 11’58 minutes
outside in front of the hive, apparently having problems in finding the entrance. Once
she landed on the wall close to the entrance
she was helped in by us after a few minutes.
The data clearly show nuptial flights of a
short duration, especially when a male
aggregation was present close to the hive.
This was the case for gynes one and two.
None of the gynes had any mating sign upon
return.
All gynes performed a short orientation
flight when leaving the hive, flying backwards in circles, with the head directed
towards the entrance. Gyne number three
performed this orientation flight only the
first day, and flew straight out the second
day. Gynes number four and five probably
did not mate successfully, because no egglaying was observed within six weeks after
the nuptial flight(s). All other gynes started
egg-laying within two to five days after their
nuptial flight and samples showed worker
production, which is a clear indication of
successful mating. Seven to 15 days after
her nuptial flight, gyne number four was
observed 32 times in the entrance tube for


five to ten minutes, between 9:53 and 15:05,
but did not leave for a second nuptial flight.

**_3.1.1. Melipona beecheii_**",Biología de la especie,"Se describe el comportamiento de la especie en su vuelo nupcial, su duración, el tiempo que tarda en poner huevos después del vuelo nupcial, la presencia de machos, etc.",
"five to ten minutes, between 9:53 and 15:05,
but did not leave for a second nuptial flight.

**_3.1.1. Melipona beecheii_**

The mating flight of gynes of _M. beecheii_
was recorded (Tab. II ). All gynes left the
hive flying very fast, without performing
any noticeable orientation flight. When gyne
number five flew out, she landed on a tree
branch about 30 cm from the entrance,
where she sat for 17 minutes, auto grooming,
before she left the site in a straight line. She
returned 37 minutes later. Gyne number four
entered a neighbouring hive when she
returned from her nuptial flight, where she
was received by worker aggression before
she was put in the correct box by us. Two
times a gyne was observed with a mating
sign upon her return in the hive. No workers
were seen to help the gyne to get rid of the
mating sign. The gynes rubbed their
abdomen over the brood comb surface and
hive walls, and were not observed with the
male genitalia after about one hour.

The durations of the nuptial flights for
_M. beecheii_ were found to be quite different
between those observed in March and
November (limited data do not allow for
statistical testing).

For four more gynes, the age when the
nuptial flight was undertaken, was 4, 16, 17


-----","Van-Veen & Sommeijer, 2000.pdf",Melipona_beecheii,PDF 1.1,05¥MO106.Wilhelm van Veen,,,,QuarkXPress Passportª 4.1: LaserWriter 8 F1-8.4.3,Acrobat Distiller 3.01 pour Power Macintosh,D:20000204122453,,,,"papers/by_species/Melipona_beecheii/Van-Veen & Sommeijer, 2000.pdf",8,3,1873,"five to ten minutes, between 9:53 and 15:05,
but did not leave for a second nuptial flight.

**_3.1.1. Melipona beecheii_**

The mating flight of gynes of _M. beecheii_
was recorded (Tab. II ). All gynes left the
hive flying very fast, without performing
any noticeable orientation flight. When gyne
number five flew out, she landed on a tree
branch about 30 cm from the entrance,
where she sat for 17 minutes, auto grooming,
before she left the site in a straight line. She
returned 37 minutes later. Gyne number four
entered a neighbouring hive when she
returned from her nuptial flight, where she
was received by worker aggression before
she was put in the correct box by us. Two
times a gyne was observed with a mating
sign upon her return in the hive. No workers
were seen to help the gyne to get rid of the
mating sign. The gynes rubbed their
abdomen over the brood comb surface and
hive walls, and were not observed with the
male genitalia after about one hour.

The durations of the nuptial flights for
_M. beecheii_ were found to be quite different
between those observed in March and
November (limited data do not allow for
statistical testing).

For four more gynes, the age when the
nuptial flight was undertaken, was 4, 16, 17


-----",Biología de la especie,Describe el comportamiento de la especie durante el vuelo nupcial. Describe la duración del vuelo nupcial. Describe la edad en la que se realiza el vuelo nupcial.,
"**Table II.** Mating flights and subsequent oviposition in _M. beecheii_ (* duration in days after nuptial
flight before egg-laying started).

Gyne number 1 2 3 4 5 6 Average

Date March March March 18/11 16/11 28/11
Age 6 4 4 8 7 10 6.5
Time 9:23 10:00 10:43 11:05 12:01 11:30 10:47
Duration 7’00 7’00 6’00 15-40 37”00 5-35 17’30
Mating sign No No No Yes No Yes
Temp. °C 34.0 36.5 37.5 33.0 34.0 34.0 34.8

Start egg-laying* 9 11 8 14 17 4 10.5


and 18 days respectively. No drones were
seen near the hives during the observation
period.

**3.2. Comparison of species**

Based on the assumption that the environmental cues that determine the conditions under which the nuptial flight takes
place are the same for both species, all data
of temperature and the starting time of the
nuptial flight were used to calculate the correlation ( _F_ = 15.7, _P_ = 0.003). Neither date
nor duration of the nuptial flight were related
to mating success ( _F_ = 2.1, _P_ = 0.15 and
_F_ = 1.3, _P_ = 0.18 respectively).

**3.3. Male aggregations near the nest**
**of** **_Tetragonisca angustula_**

Drones were present in aggregations near
two of the hives of _T. angustula_ at the
moment a virgin queen was present ( Tab. I ),
and in three more aggregations observed
near colonies of which the internal condition was not known.

From about 9 h onwards, between 150
and 200 drones were observed sitting on a
palm leaf 40 cm from the entrance of the
mother colony of gyne number 1, the morning this gyne flew to the newly founded nest
nearby. No drones were observed at this
spot the day before. Around 12 h some fifty
of these drones were observed flying in a","Van-Veen & Sommeijer, 2000.pdf",Melipona_beecheii,PDF 1.1,05¥MO106.Wilhelm van Veen,,,,QuarkXPress Passportª 4.1: LaserWriter 8 F1-8.4.3,Acrobat Distiller 3.01 pour Power Macintosh,D:20000204122453,,,,"papers/by_species/Melipona_beecheii/Van-Veen & Sommeijer, 2000.pdf",8,4,0,"**Table II.** Mating flights and subsequent oviposition in _M. beecheii_ (* duration in days after nuptial
flight before egg-laying started).

Gyne number 1 2 3 4 5 6 Average

Date March March March 18/11 16/11 28/11
Age 6 4 4 8 7 10 6.5
Time 9:23 10:00 10:43 11:05 12:01 11:30 10:47
Duration 7’00 7’00 6’00 15-40 37”00 5-35 17’30
Mating sign No No No Yes No Yes
Temp. °C 34.0 36.5 37.5 33.0 34.0 34.0 34.8

Start egg-laying* 9 11 8 14 17 4 10.5


and 18 days respectively. No drones were
seen near the hives during the observation
period.

**3.2. Comparison of species**

Based on the assumption that the environmental cues that determine the conditions under which the nuptial flight takes
place are the same for both species, all data
of temperature and the starting time of the
nuptial flight were used to calculate the correlation ( _F_ = 15.7, _P_ = 0.003). Neither date
nor duration of the nuptial flight were related
to mating success ( _F_ = 2.1, _P_ = 0.15 and
_F_ = 1.3, _P_ = 0.18 respectively).

**3.3. Male aggregations near the nest**
**of** **_Tetragonisca angustula_**

Drones were present in aggregations near
two of the hives of _T. angustula_ at the
moment a virgin queen was present ( Tab. I ),
and in three more aggregations observed
near colonies of which the internal condition was not known.

From about 9 h onwards, between 150
and 200 drones were observed sitting on a
palm leaf 40 cm from the entrance of the
mother colony of gyne number 1, the morning this gyne flew to the newly founded nest
nearby. No drones were observed at this
spot the day before. Around 12 h some fifty
of these drones were observed flying in a",Biología de la especie,"El texto describe el comportamiento de apareamiento de las abejas _M. beecheii_ y _T. angustula_. Describe el tiempo de vuelo, la duración, la temperatura y la presencia de drones cerca del nido.",
"dense “cloud” with some fifty more workers,
close to the entrance of the hive. At 12:48 h
the gyne flew out, after which the drones
took off immediately. After seven minutes
the gyne entered the “daughter” nest, located
5 m distance. Since the gyne flew out of
sight it was not possible to observe her
behaviour during these seven minutes. Ten
minutes after that, the drones started arriving at the filial nest, and landed on leaves
of plants nearby (40 to 70 cm distance).
Returning drones, that joined a “cloud” now
estimated to consist of more than 1500
workers in front of the mother nest, were
attacked by the workers. Between 16:30 and
17:00 h, all drones left. The following morning about 300 drones were observed on the
same location as the day before close to the
daughter nest. Around 11:00 h all drones
started flying in front of the entrance, and
left suddenly at 11:01 h, following the gyne
on her nuptial flight. The gyne returned
alone after 400 s (Tab. I). The first drones
returned shortly after her and at 11:11 h
about 120 drones had returned. During the
afternoon the drones vanished and by 15:45
all drones had left. For the following four
days between 80 and 100 drones were still
present between 7:30 h and 16:45 h. On day
five after the nuptial flight, only four drones
were left, and after that no more drones were
observed near the hive.
The presence of drones in two aggregations, in front of two colonies on the day of
the nuptial flight of a gyne and the day after,
was measured (Fig. 1). On the first day a


-----","Van-Veen & Sommeijer, 2000.pdf",Melipona_beecheii,PDF 1.1,05¥MO106.Wilhelm van Veen,,,,QuarkXPress Passportª 4.1: LaserWriter 8 F1-8.4.3,Acrobat Distiller 3.01 pour Power Macintosh,D:20000204122453,,,,"papers/by_species/Melipona_beecheii/Van-Veen & Sommeijer, 2000.pdf",8,4,1650,"dense “cloud” with some fifty more workers,
close to the entrance of the hive. At 12:48 h
the gyne flew out, after which the drones
took off immediately. After seven minutes
the gyne entered the “daughter” nest, located
5 m distance. Since the gyne flew out of
sight it was not possible to observe her
behaviour during these seven minutes. Ten
minutes after that, the drones started arriving at the filial nest, and landed on leaves
of plants nearby (40 to 70 cm distance).
Returning drones, that joined a “cloud” now
estimated to consist of more than 1500
workers in front of the mother nest, were
attacked by the workers. Between 16:30 and
17:00 h, all drones left. The following morning about 300 drones were observed on the
same location as the day before close to the
daughter nest. Around 11:00 h all drones
started flying in front of the entrance, and
left suddenly at 11:01 h, following the gyne
on her nuptial flight. The gyne returned
alone after 400 s (Tab. I). The first drones
returned shortly after her and at 11:11 h
about 120 drones had returned. During the
afternoon the drones vanished and by 15:45
all drones had left. For the following four
days between 80 and 100 drones were still
present between 7:30 h and 16:45 h. On day
five after the nuptial flight, only four drones
were left, and after that no more drones were
observed near the hive.
The presence of drones in two aggregations, in front of two colonies on the day of
the nuptial flight of a gyne and the day after,
was measured (Fig. 1). On the first day a


-----",Biología de la especie,Describe el comportamiento de los drones y la gine durante el vuelo nupcial. Describe el comportamiento de los drones y las abejas obreras durante el vuelo nupcial.,
"maximum number of 88 drones was seen
near one colony and 14 near the other. The
drones started to arrive around 9 h, and 50%
of the aggregation was established within
the first half hour. The maximum number
of drones was observed just before the gyne
left. After the return of the mated queen, the
number of drones in the aggregation
increased gradually until reaching a number of about half the maximum presence
observed. During the nuptial flight no drones
were present near the hive. On the day after
the nuptial flight fewer drones (Fig. 1, gray
bars) participated in the aggregation, at most
34% of the maximum of the day before, i.e.
some thirty (only present for the first
colony). Although drones started coming at
the same time, the last male left before
11:15 h.

In another aggregation that was discovered near a hive on 18 January 1993, about
100 drones participated. After two days their
number diminished to about 80, followed
by four days with an average presence of
some 60 drones, interrupted by one rainy
day on which no drones were observed. On


the last day the aggregation was seen
(26 January), a maximum of thirty drones
was counted. Individual marking revealed
that on successive days 20 to 22.5% of the
drones returned to the aggregation, and that
drones may participate for up to three days.
The drones spent about 80% of their time
“standing still”, occasionally rubbing their
abdomen with their hind tibiae, and the other
20% on flying around near the aggregation
site. It was observed 49 times within 5 minutes, that a sitting drone flew away when
approached by a flying male, the latter occupying its place. On January 18, between
10:00 and 13:20 h, eight drones entered the
nest box and stayed inside for an average
174 s (S.D. = 90 s).

**4. DISCUSSION**

In stingless bees, drones are produced in
varying quantities all year round, depending on species, colony conditions and season","Van-Veen & Sommeijer, 2000.pdf",Melipona_beecheii,PDF 1.1,05¥MO106.Wilhelm van Veen,,,,QuarkXPress Passportª 4.1: LaserWriter 8 F1-8.4.3,Acrobat Distiller 3.01 pour Power Macintosh,D:20000204122453,,,,"papers/by_species/Melipona_beecheii/Van-Veen & Sommeijer, 2000.pdf",8,5,0,"maximum number of 88 drones was seen
near one colony and 14 near the other. The
drones started to arrive around 9 h, and 50%
of the aggregation was established within
the first half hour. The maximum number
of drones was observed just before the gyne
left. After the return of the mated queen, the
number of drones in the aggregation
increased gradually until reaching a number of about half the maximum presence
observed. During the nuptial flight no drones
were present near the hive. On the day after
the nuptial flight fewer drones (Fig. 1, gray
bars) participated in the aggregation, at most
34% of the maximum of the day before, i.e.
some thirty (only present for the first
colony). Although drones started coming at
the same time, the last male left before
11:15 h.

In another aggregation that was discovered near a hive on 18 January 1993, about
100 drones participated. After two days their
number diminished to about 80, followed
by four days with an average presence of
some 60 drones, interrupted by one rainy
day on which no drones were observed. On


the last day the aggregation was seen
(26 January), a maximum of thirty drones
was counted. Individual marking revealed
that on successive days 20 to 22.5% of the
drones returned to the aggregation, and that
drones may participate for up to three days.
The drones spent about 80% of their time
“standing still”, occasionally rubbing their
abdomen with their hind tibiae, and the other
20% on flying around near the aggregation
site. It was observed 49 times within 5 minutes, that a sitting drone flew away when
approached by a flying male, the latter occupying its place. On January 18, between
10:00 and 13:20 h, eight drones entered the
nest box and stayed inside for an average
174 s (S.D. = 90 s).

**4. DISCUSSION**

In stingless bees, drones are produced in
varying quantities all year round, depending on species, colony conditions and season",Biología de la especie,"Describe la conducta de los drones de las abejas sin aguijón, como su llegada a la agregación, su participación en el vuelo nupcial y su comportamiento durante la agregación.",
"**4. DISCUSSION**

In stingless bees, drones are produced in
varying quantities all year round, depending on species, colony conditions and season

[1, 3, 13, 15]. The variation found in this
study in duration of the nuptial flight for


**Figure 1.** Presence of drones of _T. angustula_ in two aggregations near the entrance of two hives the
day of the nuptial flight (black bars) and the day after (gray bars), expressed as percentages of the maximum presence, which was 88 drones on the first day at 10:30 h and 14 drones on the second day at
10:00 h. The nuptial flight was at 10:32 h for one colony and at 10:35 h for the other (arrows).


-----","Van-Veen & Sommeijer, 2000.pdf",Melipona_beecheii,PDF 1.1,05¥MO106.Wilhelm van Veen,,,,QuarkXPress Passportª 4.1: LaserWriter 8 F1-8.4.3,Acrobat Distiller 3.01 pour Power Macintosh,D:20000204122453,,,,"papers/by_species/Melipona_beecheii/Van-Veen & Sommeijer, 2000.pdf",8,5,1770,"**4. DISCUSSION**

In stingless bees, drones are produced in
varying quantities all year round, depending on species, colony conditions and season

[1, 3, 13, 15]. The variation found in this
study in duration of the nuptial flight for


**Figure 1.** Presence of drones of _T. angustula_ in two aggregations near the entrance of two hives the
day of the nuptial flight (black bars) and the day after (gray bars), expressed as percentages of the maximum presence, which was 88 drones on the first day at 10:30 h and 14 drones on the second day at
10:00 h. The nuptial flight was at 10:32 h for one colony and at 10:35 h for the other (arrows).


-----",Other,"El texto es una discusión de los resultados de un estudio sobre el comportamiento de los drones de abejas sin aguijón. No se menciona ninguna información sobre la clasificación, distribución, tipo de ambiente, biología, ecología, demografía, genética, importancia, estado de conservación, especies prioritarias para la conservación o necesidades de información de la especie estudiada.",
