page_content,source,format,title,author,subject,keywords,creator,producer,creationDate,modDate,trapped,encryption,start_index,text,category,racional,error_indx
"Journal of Apicultural Research , 2015
[http://dx.doi.org/10.1080/00218839.2015.1029783](http://dx.doi.org/10.1080/00218839.2015.1029783)

# ORIGINAL RESEARCH ARTICLE

# Stingless bee distribution and richness in El Salvador ( Apidae , Meliponinae )

Carlos Enrique Ruano Iraheta a * , Miguel A ´ ngel Herna ´ndez Martı ´nez b , Luis Alonso Alas Romero b , Marco Evelio Claros
A ´ lvarez c , David Rosales Are ´valo d  and Vı ´ctor Alfredo Rodrı ´guez Gonza ´lez e

a Facultad de Ciencias Agrono ´micas, Departamento de Zootecnia, Universidad de El Salvador, San Salvador, El Salvador;  b Laboratorio de
Sistemas de Informacio ´n Geogra ´ﬁca Unidad de Posgrado, Facultad de Ciencias Agrono ´micas, Universidad de El Salvador, San Salvador, El
Salvador;  c Facultad Multidisciplinaria de Oriente, Departamento de Agronomı ´a, Universidad de El Salvador, San Miguel, El Salvador;  d Facultad
Multidisciplinaria de Occidente, Departamento de Biologı ´a, Universidad de El Salvador, Santa Ana, El Salvador;  e Facultad Multidisciplinaria
Paracentral, Departamento de Agronomı ´a, Universidad de El Salvador, San Vicente, El Salvador

( Received 12 March 2011; accepted 18 December 2014 )","papers/test_samples/Ruano-Iraheta et al., 2015.pdf",PDF 1.6,"Stingless bee distribution and richness in El Salvador (Apidae, Meliponinae)",Carlos Enrique Ruano Iraheta,"Journal of Apicultural Research, 2015. doi:10.1080/00218839.2015.1029783",,Arbortext Advanced Print Publisher 9.1.531/W Unicode,Acrobat Distiller 9.0.0 (Windows),D:20150617193331+05'30',D:20150617193752+05'30',,,1,"page_content='Journal of Apicultural Research , 2015
[http://dx.doi.org/10.1080/00218839.2015.1029783](http://dx.doi.org/10.1080/00218839.2015.1029783)

# ORIGINAL RESEARCH ARTICLE

# Stingless bee distribution and richness in El Salvador ( Apidae , Meliponinae )

Carlos Enrique Ruano Iraheta a * , Miguel A ´ ngel Herna ´ndez Martı ´nez b , Luis Alonso Alas Romero b , Marco Evelio Claros
A ´ lvarez c , David Rosales Are ´valo d  and Vı ´ctor Alfredo Rodrı ´guez Gonza ´lez e

a Facultad de Ciencias Agrono ´micas, Departamento de Zootecnia, Universidad de El Salvador, San Salvador, El Salvador;  b Laboratorio de
Sistemas de Informacio ´n Geogra ´ﬁca Unidad de Posgrado, Facultad de Ciencias Agrono ´micas, Universidad de El Salvador, San Salvador, El
Salvador;  c Facultad Multidisciplinaria de Oriente, Departamento de Agronomı ´a, Universidad de El Salvador, San Miguel, El Salvador;  d Facultad
Multidisciplinaria de Occidente, Departamento de Biologı ´a, Universidad de El Salvador, Santa Ana, El Salvador;  e Facultad Multidisciplinaria
Paracentral, Departamento de Agronomı ´a, Universidad de El Salvador, San Vicente, El Salvador

( Received 12 March 2011; accepted 18 December 2014 )' metadata={'source': 'papers/test_samples/Ruano-Iraheta et al., 2015.pdf', 'format': 'PDF 1.6', 'title': 'Stingless bee distribution and richness in El Salvador (Apidae, Meliponinae)', 'author': 'Carlos Enrique Ruano Iraheta', 'subject': 'Journal of Apicultural Research, 2015. doi:10.1080/00218839.2015.1029783', 'keywords': '', 'creator': 'Arbortext Advanced Print Publisher 9.1.531/W Unicode', 'producer': 'Acrobat Distiller 9.0.0 (Windows)', 'creationDate': ""D:20150617193331+05'30""', 'modDate': ""D:20150617193752+05'30""', 'trapped': '', 'encryption': None, 'start_index': 1}",Metadatos,Se menciona la institución que publicó el artículo y el nombre de sus autores así como la dirección web (URI) dónde encontrarla,
"( Received 12 March 2011; accepted 18 December 2014 )

This is the ﬁrst complete inventory of stingless bees in El Salvador. It includes the spatial distribution of wild and man-
aged colonies and the relationships between their occurrence and vegetation cover, altitude and temperature. Applying
a stratiﬁed sampling, we located wild colonies ( n = 477) and managed colonies ( n = 686) of stingless bees in tropical
forests, agricultural ﬁelds and urban areas. Each stratum (14) was a department (political division) of El Salvador. We
made maps of the distribution of the most common wild and managed species. We analysed spatial distribution of
colonies through the Clark and Evans Index (CEI). For the estimation of diversity between departments, the Shannon-
Wiener diversity index ( H ) was calculated. The relationship between species richness and vegetation cover was anal-
ysed through the chi-square test. Linear regression was used to evaluate the effects of altitude and temperature on
species richness. We concluded that: (a) there are at least 20 species, six subgenera and 10 genera of stingless bees in
El Salvador; (b) the departments with highest levels of diversity were Santa Ana ( H ´ = 2.55), Chalatenango ( H ´ = 2.41),
Moraza ´n ( H ´ = 2.31) and La Libertad ( H ´ = 2.22); (c) the most abundant wild species, was Tetragonisca angustula
( n = 156, relative abundance = 32.70%) and was found in each department in clustered pattern (CEI = .26, p &lt; .001);
(d) Melipona beecheii ( n = 405, relative abundance = 59.04%) was the most frequent managed species, mainly found in a
clustered pattern (CEI = .28, p &lt; .001) in the northern and the western part of El Salvador; (e) the species richness is
associated with the vegetation cover: increased with coniferous forest ( X 2  = 336.1, p &lt; .001), fruit trees ( X 2  = 41.8,
p &lt; .001), and with temperature ( r = .86, p = .0015) but decreased with altitude ( r = − .87, p = .001).","papers/test_samples/Ruano-Iraheta et al., 2015.pdf",PDF 1.6,"Stingless bee distribution and richness in El Salvador (Apidae, Meliponinae)",Carlos Enrique Ruano Iraheta,"Journal of Apicultural Research, 2015. doi:10.1080/00218839.2015.1029783",,Arbortext Advanced Print Publisher 9.1.531/W Unicode,Acrobat Distiller 9.0.0 (Windows),D:20150617193331+05'30',D:20150617193752+05'30',,,1131,,,,1.0
"Distribucio ´n de abejas sin aguijo ´ns y riqueza en El Salvador ( Apidae, Meliponinae )","papers/test_samples/Ruano-Iraheta et al., 2015.pdf",PDF 1.6,"Stingless bee distribution and richness in El Salvador (Apidae, Meliponinae)",Carlos Enrique Ruano Iraheta,"Journal of Apicultural Research, 2015. doi:10.1080/00218839.2015.1029783",,Arbortext Advanced Print Publisher 9.1.531/W Unicode,Acrobat Distiller 9.0.0 (Windows),D:20150617193331+05'30',D:20150617193752+05'30',,,3093,"Distribucio ´n de abejas sin aguijo ´ns y riqueza en El Salvador ( Apidae, Meliponinae )",Distribución de la especie,"El texto menciona la distribución de las abejas sin aguijón en El Salvador, lo que corresponde a la categoría de Distribución de la especie.",
"Este es el primer inventario completo de abejas sin aguijo ´n en El Salvador. Se incluyo ´ la distribucio ´n espacial de colo-
nias silvestres y domesticadas, adema ´s de la relacio ´n entre la riqueza de especies con la cobertura vegetal, altitud y
temperatura. Se aplico ´ un muestreo estratiﬁcado a las colonias silvestres (n = 477) y colonias domesticadas (n = 686)
de las abejas sin aguijo ´n localizadas en bosques tropicales, zonas agrı ´colas y zonas urbanas. Cada estrato (14) fue un
departamento (divisio ´n polı ´tica) de El Salvador. Tambie ´n se elaboraron mapas de la distribucio ´n de las colonias sil-
vestres y domesticadas ma ´s frecuentes. La distribucio ´n espacial de las colonias fue analizada a trave ´s del ı ´ndice de Clark
y Evans (CEI). La diversidad para cada departamento se calculo ´ por medio del ı ´ndice de Shannon-Wiener (H’). La rela-
cio ´n entre la cobertura vegetal y la riqueza de especies se analizo ´ con chi-cuadrado. Se aplico ´ regresio ´n lineal para rela-
cionar la altitud y la temperatura con la riqueza de especies. Las conclusiones fueron: a. hay por lo menos 20 especies,
seis subge ´neros y diez ge ´neros de abejas sin aguijo ´n en El Salvador; b. los departamentos con los ma ´s altos niveles de
diversidad fueron Santa Ana (H’ = 2.55), Chalatenango (H’ = 2.41), Moraza ´n (H’ = 2.31) y La Libertad (H’ = 2.22); c. la
especie silvestre ma ´s abundante fue Tetragonisca angustula (n = 156, abundancia relativa = 32.70%) y se encontro ´ en
cada departamento en grupos (CEI = 0.26, P &lt; 0.001); d. la especie dome ´stica ma ´s frecuente fue Melipona beecheii
(n = 405, abundancia relativa = 59.04%) localizada principalmente al norte y el oeste de El Salvador tambie ´n en grupos
(CEI = 0.28, P &lt; 0.001 ); y e. la riqueza de especies esta ´ relacionada con la cobertura vegetal: se incremento ´ en el bos-
que de conı ´feras (X ² = 336.1, P &lt; 0.001) y a ´rboles frutales (X ² = 41.8, P &lt; 0.001), disminuyo ´ con la altitud (r = -0","papers/test_samples/Ruano-Iraheta et al., 2015.pdf",PDF 1.6,"Stingless bee distribution and richness in El Salvador (Apidae, Meliponinae)",Carlos Enrique Ruano Iraheta,"Journal of Apicultural Research, 2015. doi:10.1080/00218839.2015.1029783",,Arbortext Advanced Print Publisher 9.1.531/W Unicode,Acrobat Distiller 9.0.0 (Windows),D:20150617193331+05'30',D:20150617193752+05'30',,,3183,"Este es el primer inventario completo de abejas sin aguijo ´n en El Salvador. Se incluyo ´ la distribucio ´n espacial de colo-
nias silvestres y domesticadas, adema ´s de la relacio ´n entre la riqueza de especies con la cobertura vegetal, altitud y
temperatura. Se aplico ´ un muestreo estratiﬁcado a las colonias silvestres (n = 477) y colonias domesticadas (n = 686)
de las abejas sin aguijo ´n localizadas en bosques tropicales, zonas agrı ´colas y zonas urbanas. Cada estrato (14) fue un
departamento (divisio ´n polı ´tica) de El Salvador. Tambie ´n se elaboraron mapas de la distribucio ´n de las colonias sil-
vestres y domesticadas ma ´s frecuentes. La distribucio ´n espacial de las colonias fue analizada a trave ´s del ı ´ndice de Clark
y Evans (CEI). La diversidad para cada departamento se calculo ´ por medio del ı ´ndice de Shannon-Wiener (H’). La rela-
cio ´n entre la cobertura vegetal y la riqueza de especies se analizo ´ con chi-cuadrado. Se aplico ´ regresio ´n lineal para rela-
cionar la altitud y la temperatura con la riqueza de especies. Las conclusiones fueron: a. hay por lo menos 20 especies,
seis subge ´neros y diez ge ´neros de abejas sin aguijo ´n en El Salvador; b. los departamentos con los ma ´s altos niveles de
diversidad fueron Santa Ana (H’ = 2.55), Chalatenango (H’ = 2.41), Moraza ´n (H’ = 2.31) y La Libertad (H’ = 2.22); c. la
especie silvestre ma ´s abundante fue Tetragonisca angustula (n = 156, abundancia relativa = 32.70%) y se encontro ´ en
cada departamento en grupos (CEI = 0.26, P &lt; 0.001); d. la especie dome ´stica ma ´s frecuente fue Melipona beecheii
(n = 405, abundancia relativa = 59.04%) localizada principalmente al norte y el oeste de El Salvador tambie ´n en grupos
(CEI = 0.28, P &lt; 0.001 ); y e. la riqueza de especies esta ´ relacionada con la cobertura vegetal: se incremento ´ en el bos-
que de conı ´feras (X ² = 336.1, P &lt; 0.001) y a ´rboles frutales (X ² = 41.8, P &lt; 0.001), disminuyo ´ con la altitud (r = -0",Distribución de la especie,"El texto menciona la distribución espacial de las colonias de abejas sin aguijón en El Salvador, incluyendo mapas de distribución de las colonias silvestres y domesticadas más frecuentes.",
".1, P &lt; 0.001) y a ´rboles frutales (X ² = 41.8, P &lt; 0.001), disminuyo ´ con la altitud (r = -0.87,
P = 0.0010) y aumento ´ con la temperatura (r = 0.86, p = 0,0015).","papers/test_samples/Ruano-Iraheta et al., 2015.pdf",PDF 1.6,"Stingless bee distribution and richness in El Salvador (Apidae, Meliponinae)",Carlos Enrique Ruano Iraheta,"Journal of Apicultural Research, 2015. doi:10.1080/00218839.2015.1029783",,Arbortext Advanced Print Publisher 9.1.531/W Unicode,Acrobat Distiller 9.0.0 (Windows),D:20150617193331+05'30',D:20150617193752+05'30',,,5074,".1, P &lt; 0.001) y a ´rboles frutales (X ² = 41.8, P &lt; 0.001), disminuyo ´ con la altitud (r = -0.87,
P = 0.0010) y aumento ´ con la temperatura (r = 0.86, p = 0,0015).",Tipo de ambiente en donde se desarrolla la especie,"Se menciona la altitud y la temperatura, que son características del tipo de ambiente en donde se desarrolla la especie",
"Keywords: stingless bees; meliponiculture; species richness; diversity; relative abundance; GIS; El Salvador

above sea level (m.a.s.l.). The weather is tropical, with an
average annual temperature of 23.2 ˚C, a relative humid-
ity of 74.9% and a precipitation of 1,841.8 mm. (Engels,
Urbina, Sloot, & Castillo, 1998 ). The natural vegetation
and cultivated trees cover 34.16% of the territory. Sting-
less bees ( Apidae , Meliponinae ) are a group of eusocial

Introduction
El Salvador is the smallest country in Central America.
It has an area of 20,935 km 2  and a high population
density: 273 inhabitants per km 2 . It is located between
geographic coordinates 13˚09´–14˚25´ N and 87˚43´–
90˚08´ W (Flores, 1980 ). The highest altitude is 2,733 m

*Corresponding author. Email: [carlos.ruano3@ues.edu.sv](mailto:carlos.ruano3@ues.edu.sv)

© 2015 International Bee Research Association



-----


2 C.E. Ruano Iraheta et al.

and urban areas. The selection in each stratum was
based on preliminary information from agronomists,
biologists, farmers and forest guards. Samples from 70
places were taken using active searching of ﬂow of for-
agers, tube entrance, and exposed nests where the bees
were manually captured for identiﬁcation and placed in
plastic containers. To reduce data bias, two members of
the research team looked for nests in an area of 100 m 2","papers/test_samples/Ruano-Iraheta et al., 2015.pdf",PDF 1.6,"Stingless bee distribution and richness in El Salvador (Apidae, Meliponinae)",Carlos Enrique Ruano Iraheta,"Journal of Apicultural Research, 2015. doi:10.1080/00218839.2015.1029783",,Arbortext Advanced Print Publisher 9.1.531/W Unicode,Acrobat Distiller 9.0.0 (Windows),D:20150617193331+05'30',D:20150617193752+05'30',,,5248,"Keywords: stingless bees; meliponiculture; species richness; diversity; relative abundance; GIS; El Salvador

above sea level (m.a.s.l.). The weather is tropical, with an
average annual temperature of 23.2 ˚C, a relative humid-
ity of 74.9% and a precipitation of 1,841.8 mm. (Engels,
Urbina, Sloot, & Castillo, 1998 ). The natural vegetation
and cultivated trees cover 34.16% of the territory. Sting-
less bees ( Apidae , Meliponinae ) are a group of eusocial

Introduction
El Salvador is the smallest country in Central America.
It has an area of 20,935 km 2  and a high population
density: 273 inhabitants per km 2 . It is located between
geographic coordinates 13˚09´–14˚25´ N and 87˚43´–
90˚08´ W (Flores, 1980 ). The highest altitude is 2,733 m

*Corresponding author. Email: [carlos.ruano3@ues.edu.sv](mailto:carlos.ruano3@ues.edu.sv)

© 2015 International Bee Research Association



-----


2 C.E. Ruano Iraheta et al.

and urban areas. The selection in each stratum was
based on preliminary information from agronomists,
biologists, farmers and forest guards. Samples from 70
places were taken using active searching of ﬂow of for-
agers, tube entrance, and exposed nests where the bees
were manually captured for identiﬁcation and placed in
plastic containers. To reduce data bias, two members of
the research team looked for nests in an area of 100 m 2",Tipo de ambiente en donde se desarrolla la especie,Describe el clima y la vegetación del lugar donde se desarrolla la especie,
"insects from the tropics living in permanent colonies,
where they store pollen and honey. The main characteris-
tics are the presence of a vestigial sting, reduced veins in
the forewings and composite eyes without pilosity
(Nates-Parra, 2001 ). These bees are classiﬁed in two
tribes: Meliponini and Trigonini (Wille, 1983 ). The Melipo-
nini tribe has just one genus and approximately 40 species.
The Trigonini tribe has several genera and subgenera, and
over 50 supraspeciﬁc groups (Ramirez and Ortiz, 1995 ).
The stingless bees in the Neotropical region embrace 13
genera, 10 subgenera and 271 species (Nates-Parra,
2001 ). Meliponiculture (the keeping of stingless bees) has
a long history, being practiced in Mesoamerica by the
ancient Maya culture (Biesmeijer, 1997 ). Stingless bees
are pollinators of many wild plant species, and seem to be
a good future alternative in commercial pollination (Slaa,
Sanchez, Malagodi, & Hofstede, 2006 ). They are known to
visit the ﬂowers of approximately 90 crops, and are con-
sidered effective pollinators for at least nine of them
(Heard, 1999 ). Stingless bees are appreciated for honey
production, which is used by farmers as food and medi-
cine. According to the Salvadorian farmers, the medicinal
properties of this honey depend on the bee species:
honey of Melipona beecheii is used for treatment of
gastritis and skin burns; pure honey of Tetragonisca
angustula or diluted with water, is used for conjunctivitis,
cataracts and throat infections (Ruano Iraheta, 1999 ).
Information about the number of species of stingless
bees, their distribution and management in this country
is very limited. There is an inventory of 13 species of
stingless bees that were captured mostly in the western
part (Departamento de Proteccio ´n Vegetal – FAO,","papers/test_samples/Ruano-Iraheta et al., 2015.pdf",PDF 1.6,"Stingless bee distribution and richness in El Salvador (Apidae, Meliponinae)",Carlos Enrique Ruano Iraheta,"Journal of Apicultural Research, 2015. doi:10.1080/00218839.2015.1029783",,Arbortext Advanced Print Publisher 9.1.531/W Unicode,Acrobat Distiller 9.0.0 (Windows),D:20150617193331+05'30',D:20150617193752+05'30',,,6614,,,,6.0
"1993 ). In addition, De Jong ( 1999 ) presented a list of 16
species, also collected in the west, near the border with
Guatemala. The current situation of meliponiculture is
similar to other Neotropical countries like Me ´xico,
where their habitat is rapidly being removed, causing
danger of extinction. Furthermore, competition from
colonies of Apis mellifera , inappropriate management and
lack of economic incentive for stingless beekeepers
(Villanueva, Roubik, & Colli-Ucan, 2005 ) also hinder the
development of this culture.
The objectives of this study were: (a) to identify the
species of stingless bees present in all the country; (b)
to determine the most abundant species; (c) to ﬁnd
their geographic distribution within Salvadorian bound-
aries; and (d) to ﬁnd out the relationships between spe-
cies richness and vegetation cover, species richness and
altitude, and species richness and temperature.

Materials and methods

The study lasted from May 2005 until May 2007. A strati-
ﬁed sampling was applied across the 14 departments of
El Salvador, with each of the departments as a stratum.
The sampling places were tropical forests, protected
areas (vegetation cover on volcanoes and some places
near to water bodies or to the coast), agricultural ﬁelds","papers/test_samples/Ruano-Iraheta et al., 2015.pdf",PDF 1.6,"Stingless bee distribution and richness in El Salvador (Apidae, Meliponinae)",Carlos Enrique Ruano Iraheta,"Journal of Apicultural Research, 2015. doi:10.1080/00218839.2015.1029783",,Arbortext Advanced Print Publisher 9.1.531/W Unicode,Acrobat Distiller 9.0.0 (Windows),D:20150617193331+05'30',D:20150617193752+05'30',,,8408,"1993 ). In addition, De Jong ( 1999 ) presented a list of 16
species, also collected in the west, near the border with
Guatemala. The current situation of meliponiculture is
similar to other Neotropical countries like Me ´xico,
where their habitat is rapidly being removed, causing
danger of extinction. Furthermore, competition from
colonies of Apis mellifera , inappropriate management and
lack of economic incentive for stingless beekeepers
(Villanueva, Roubik, & Colli-Ucan, 2005 ) also hinder the
development of this culture.
The objectives of this study were: (a) to identify the
species of stingless bees present in all the country; (b)
to determine the most abundant species; (c) to ﬁnd
their geographic distribution within Salvadorian bound-
aries; and (d) to ﬁnd out the relationships between spe-
cies richness and vegetation cover, species richness and
altitude, and species richness and temperature.

Materials and methods

The study lasted from May 2005 until May 2007. A strati-
ﬁed sampling was applied across the 14 departments of
El Salvador, with each of the departments as a stratum.
The sampling places were tropical forests, protected
areas (vegetation cover on volcanoes and some places
near to water bodies or to the coast), agricultural ﬁelds",Distribución de la especie,"El texto menciona la distribución de las abejas sin aguijón en El Salvador, incluyendo su presencia en los 14 departamentos del país y en diferentes tipos de hábitats como bosques tropicales, áreas protegidas y campos agrícolas.",
"(10 m 10 m plots) over 3 min and compared the ﬁnd-
ings. The total area sampled per day was 1,800 m 2 . Wild
colonies were searched for, focusing the same efforts on
trees, holes in the ground and walls. For managed colo-
nies, the samples were taken directly from boxes or
trunks in the houses and backyards belonging to the
farmers. Nine stingless bee species were identiﬁed using
the entomological key of Roubik ( 1992 ) and 11 were
identiﬁed directly by Dr Roubik. Species diversity was
analysed using Shannon-Wiener diversity index ( H ´)
(Moreno, 2001 ) based on the number of wild colonies of
each species found in each department. We tested diver-
sity using software PAST 2.02.
The species richness is the number of species for a
region. In this study species richness was estimated for
each department and for the whole country. The relative
abundance (RA) is a percentage of the total, and was also
estimated for each species of stingless bees to compare
the number of colonies between departments. We used
Global Position System Garmin model Geko 101 in each
sampling place, to obtain data of latitude, longitude and
altitude above sea level (m.a.s.l.). The digital cartography
based on data from the Ministry of Environment and
Natural Resources of El Salvador (MARN). The collected
data were systematized using the software Arc-GIS 9.3
to develop a map of distribution of the most abundant
species. This map was compared with an existing map of
important vegetation cover (Figure 1 ) to relate the type
of vegetation in the presence of a particular species of
stingless bees and to check for sources of food or threats
from the use of pesticides in areas with cultivated crops.
The spatial distribution of wild and managed colonies
of T. angustula and M. beecheii was analysed by applying
the index of Clark and Evans ( 1954 , CEI), which shows
colony aggregations, whether they are randomly or uni-
formly distributed (Biber and Weyerhaeuser, 1998 )","papers/test_samples/Ruano-Iraheta et al., 2015.pdf",PDF 1.6,"Stingless bee distribution and richness in El Salvador (Apidae, Meliponinae)",Carlos Enrique Ruano Iraheta,"Journal of Apicultural Research, 2015. doi:10.1080/00218839.2015.1029783",,Arbortext Advanced Print Publisher 9.1.531/W Unicode,Acrobat Distiller 9.0.0 (Windows),D:20150617193331+05'30',D:20150617193752+05'30',,,9677,"(10 m 10 m plots) over 3 min and compared the ﬁnd-
ings. The total area sampled per day was 1,800 m 2 . Wild
colonies were searched for, focusing the same efforts on
trees, holes in the ground and walls. For managed colo-
nies, the samples were taken directly from boxes or
trunks in the houses and backyards belonging to the
farmers. Nine stingless bee species were identiﬁed using
the entomological key of Roubik ( 1992 ) and 11 were
identiﬁed directly by Dr Roubik. Species diversity was
analysed using Shannon-Wiener diversity index ( H ´)
(Moreno, 2001 ) based on the number of wild colonies of
each species found in each department. We tested diver-
sity using software PAST 2.02.
The species richness is the number of species for a
region. In this study species richness was estimated for
each department and for the whole country. The relative
abundance (RA) is a percentage of the total, and was also
estimated for each species of stingless bees to compare
the number of colonies between departments. We used
Global Position System Garmin model Geko 101 in each
sampling place, to obtain data of latitude, longitude and
altitude above sea level (m.a.s.l.). The digital cartography
based on data from the Ministry of Environment and
Natural Resources of El Salvador (MARN). The collected
data were systematized using the software Arc-GIS 9.3
to develop a map of distribution of the most abundant
species. This map was compared with an existing map of
important vegetation cover (Figure 1 ) to relate the type
of vegetation in the presence of a particular species of
stingless bees and to check for sources of food or threats
from the use of pesticides in areas with cultivated crops.
The spatial distribution of wild and managed colonies
of T. angustula and M. beecheii was analysed by applying
the index of Clark and Evans ( 1954 , CEI), which shows
colony aggregations, whether they are randomly or uni-
formly distributed (Biber and Weyerhaeuser, 1998 )",Distribución de la especie,"El texto menciona la distribución de las colonias de abejas sin aguijón en El Salvador, incluyendo la riqueza de especies y la abundancia relativa para cada departamento.",
". beecheii was analysed by applying
the index of Clark and Evans ( 1954 , CEI), which shows
colony aggregations, whether they are randomly or uni-
formly distributed (Biber and Weyerhaeuser, 1998 ). The
CEI was estimated using R software version 3.1.1 (R
Development Core Team, 2014 ). The relationship
between species richness and vegetation cover in each
department was analysed through the chi-square test
(Bonilla, 2000 ) and software PAST 2.02. The software
SAS 8.01 (SAS, 2002 ) was used to apply a linear regres-
sion analysis to ﬁnd relationships between species rich-
ness and altitude. Ten different altitude ranges were
deﬁned: 0–250, 251–500, 501–750, 751–1000, 1001–
1250, 1251–1500, 1501–1750, 1751–2000, 2001–2250
and 2251–2500 m.a.s.l. The same statistical analysis was
applied to ﬁnd the relationship between species richness
and temperature, matching values corresponding to the
ranges of altitude indicated. A simple average difference","papers/test_samples/Ruano-Iraheta et al., 2015.pdf",PDF 1.6,"Stingless bee distribution and richness in El Salvador (Apidae, Meliponinae)",Carlos Enrique Ruano Iraheta,"Journal of Apicultural Research, 2015. doi:10.1080/00218839.2015.1029783",,Arbortext Advanced Print Publisher 9.1.531/W Unicode,Acrobat Distiller 9.0.0 (Windows),D:20150617193331+05'30',D:20150617193752+05'30',,,11444,"page_content=. beecheii was analysed by applying
the index of Clark and Evans ( 1954 , CEI), which shows
colony aggregations, whether they are randomly or uni-
formly distributed (Biber and Weyerhaeuser, 1998 ). The
CEI was estimated using R software version 3.1.1 (R
Development Core Team, 2014 ). The relationship
between species richness and vegetation cover in each
department was analysed through the chi-square test
(Bonilla, 2000 ) and software PAST 2.02. The software
SAS 8.01 (SAS, 2002 ) was used to apply a linear regres-
sion analysis to ﬁnd relationships between species rich-
ness and altitude. Ten different altitude ranges were
deﬁned: 0–250, 251–500, 501–750, 751–1000, 1001–
1250, 1251–1500, 1501–1750, 1751–2000, 2001–2250
and 2251–2500 m.a.s.l. The same statistical analysis was
applied to ﬁnd the relationship between species richness
and temperature, matching values corresponding to the
ranges of altitude indicated. A simple average difference",Metadatos,Se menciona el software utilizado para el análisis de los datos y la versión del mismo,
